UTC,x,y,z,xv,yv,zv,EDR Density,Drag Work,Delta Energy,g_con_integ,g_noncon_integ,delta_v
2024-05-08 22:00:43,557334.0167705497,-1059231.4098633807,-6756759.239986232,4236.849739558873,-6186.566546085511,1310.900035514638,2.5385247260325896e-11,35.838082794100046,-35.838082794100046,-0.0,0.0,-35.838082794100046
2024-05-08 22:00:44,561570.5652635442,-1065417.3988175516,-6755444.532949848,4236.163372493193,-6185.26351203591,1319.2132792933805,2.540777503634963e-11,35.869908545166254,-35.869908545166254,-0.0,0.0,-35.869908545166254
2024-05-08 22:00:45,565806.4217992154,-1071602.0757192057,-6754121.489752038,4235.471793517372,-6183.952868571077,1327.5248859373187,2.5425839422814903e-11,35.8954335488379,-35.8954335488379,-0.0,0.0,-35.8954335488379
2024-05-08 22:00:46,570041.5812623774,-1077785.4331270615,-6752790.1127778245,4234.775003939927,-6182.634617957774,1335.8348455286969,2.5439498511175717e-11,35.914739817380905,-35.914739817380905,-0.0,0.0,-35.914739817380905
2024-05-08 22:00:47,574276.0385378451,-1083967.4635998374,-6751450.404412224,4234.073005069376,-6181.308762462769,1344.1431481497605,2.5448810414311483e-11,35.92790939286351,-35.92790939286351,-0.0,0.0,-35.92790939286351
2024-05-08 22:00:48,578509.7885104325,-1090148.1596962519,-6750102.367040256,4233.365798214239,-6179.975304352825,1352.4497838827542,2.5453833300835982e-11,35.93502439558506,-35.93502439558506,-0.0,0.0,-35.93502439558506
2024-05-08 22:00:49,582742.8260649544,-1096327.5139750226,-6748746.003046942,4232.653384683032,-6178.6342458947065,1360.754742809923,2.5454625416211995e-11,35.93616705387831,-35.93616705387831,-0.0,0.0,-35.93616705387831
2024-05-08 22:00:50,586975.1460862253,-1102505.518994869,-6747381.314817303,4231.935765784275,-6177.2855893551805,1369.0580150135122,2.5451245019425614e-11,35.93141961470246,-35.93141961470246,-0.0,0.0,-35.93141961470246
2024-05-08 22:00:51,591206.7434590592,-1108682.1673145087,-6746008.304736356,4231.212942826485,-6175.929337001008,1377.3595905757668,2.544375046742926e-11,35.92086446285248,-35.92086446285248,-0.0,0.0,-35.92086446285248
2024-05-08 22:00:52,595437.613068271,-1114857.4514926602,-6744626.975189124,4230.484917118181,-6174.565491098955,1385.6594595789313,2.543220014125994e-11,35.904584016650915,-35.904584016650915,-0.0,0.0,-35.904584016650915
2024-05-08 22:00:53,599667.7497986747,-1121031.3640880415,-6743237.328560624,4229.751689967882,-6173.194053915789,1393.9576121052512,2.541665246451251e-11,35.88266075402498,-35.88266075402498,-0.0,0.0,-35.88266075402498
2024-05-08 22:00:54,603897.1485350855,-1127203.8976593716,-6741839.3672358785,4229.013262684105,-6171.815027718272,1402.2540382369712,2.5397165940283602e-11,35.8551772646606,-35.8551772646606,-0.0,0.0,-35.8551772646606
2024-05-08 22:00:55,608125.8041623171,-1133375.044765368,-6740433.093599905,4228.269636575369,-6170.4284147731705,1410.5487280563361,2.5373799098397972e-11,35.82221617549658,-35.82221617549658,-0.0,0.0,-35.82221617549658
2024-05-08 22:00:56,612353.7115651843,-1139544.79796475,-6739018.510037725,4227.520812950193,-6169.034217347247,1418.8416716455915,2.5346610532351076e-11,35.783860202878714,-35.783860202878714,-0.0,0.0,-35.783860202878714
2024-05-08 22:00:57,616580.8656285016,-1145713.149816235,-6737595.618934357,4226.766793117094,-6167.632437707268,1427.132859086982,2.5315658883476548e-11,35.740192130208015,-35.740192130208015,-0.0,0.0,-35.740192130208015
2024-05-08 22:00:58,620807.2612370834,-1151880.0928785421,-6736164.422674823,4226.0075783845905,-6166.223078119997,1435.4222804627527,2.5281002798726057e-11,35.69129474833608,-35.69129474833608,-0.0,0.0,-35.69129474833608
2024-05-08 22:00:59,625032.8932757442,-1158045.619710389,-6734724.92364414,4225.243170061202,-6164.806140852199,1443.7099258551489,2.524270104413274e-11,35.637251015752554,-35.637251015752554,-0.0,0.0,-35.637251015752554
2024-05-08 22:01:00,629257.7566292982,-1164209.7228704947,-6733277.12422733,4224.473569455445,-6163.38162817064,1451.995785346415,2.5200812372873576e-11,35.57814387232065,-35.57814387232065,-0.0,0.0,-35.57814387232065
2024-05-08 22:01:01,633481.8461825602,-1170372.3949175768,-6731821.026809413,4223.6987778758385,-6161.949542342084,1460.2798490187963,2.515539561762202e-11,35.514056369662285,-35.514056369662285,-0.0,0.0,-35.514056369662285
2024-05-08 22:01:02,637705.1568203443,-1176533.6284103543,-6730356.633775408,4222.918796630902,-6160.509885633295,1468.5621069545377,2.5106509616661155e-11,35.44507156684995,-35.44507156684995,-0.0,0.0,-35.44507156684995
2024-05-08 22:01:03,641927.6834274655,-1182693.4159075448,-6728883.947510336,4222.133627029151,-6159.062660311039,1476.8425492358847,2.5054213303596235e-11,35.371272657066584,-35.371272657066584,-0.0,0.0,-35.371272657066584
2024-05-08 22:01:04,646149.4208887378,-1188851.7499678675,-6727402.970399214,4221.343270379107,-6157.60786864208,1485.1211659450819,2.4998565614996045e-11,35.29274283722043,-35.29274283722043,-0.0,0.0,-35.29274283722043
