,Epoch,x,y,z,xv,yv,zv,accx,accy,accz,JB08 Density,DTM2000 Density,NRLMSISE00 Density,Computed Density
0,2003-10-27 22:00:02,2200711.7291495414,2461631.6444135634,-5915726.087671287,3877.0398574358965,5462.436119832683,3718.650946227646,-5.343834992288521e-07,1.1234720149744248e-06,2.127056460654586e-05,3.536003439260893e-12,2.302355971083528e-12,2.1395595820466086e-12,8.815416984117543e-11
1,2003-10-27 22:00:17,2258548.3791841413,2543210.616059332,-5859096.667765387,3834.3381076553455,5414.5100859131235,3831.7327908852753,1.6367057646959893e-06,4.414947660347224e-06,2.3670319806434748e-05,3.5292539985295823e-12,2.2936979377621486e-12,2.1357795650029817e-12,1.2814002774344414e-10
2,2003-10-27 22:00:32,2315736.232694066,2624059.020712165,-5800779.272408562,3790.529462187896,5365.0224988932905,3943.7249546514,-8.069681085576264e-06,-8.937091890537374e-06,1.4736411627858104e-05,3.5232121494351567e-12,2.28617419395707e-12,2.13267362499334e-12,-2.1713882609482547e-11
3,2003-10-27 22:00:47,2372258.790404922,2704153.552335257,-5740790.527533386,3745.626123325814,5313.987080599649,4054.595202876895,-8.653858666107794e-06,-9.782797711910263e-06,1.3324300501160735e-05,3.5178627397998203e-12,2.2796097311386076e-12,2.1302858549840344e-12,-3.226510280177785e-11
4,2003-10-27 22:01:02,2428099.632329483,2783470.994405918,-5679147.261599123,3699.6404237229513,5261.417735520175,4164.311421372508,-5.7846448462406386e-06,-6.045535330123641e-06,1.5245141804953732e-05,3.5132098051304634e-12,2.2738435876254354e-12,2.1286737405449037e-12,1.0834960858721648e-11
5,2003-10-27 22:01:17,2483242.6556291957,2861988.488457924,-5615867.113171783,3652.5852174794863,5207.329098788872,4272.841977788467,-5.086407162568918e-06,-5.5068733604279885e-06,1.5474148896466033e-05,3.509234694432349e-12,2.2687065702034332e-12,2.1278804413742986e-12,1.993514394761581e-11
6,2003-10-27 22:01:32,2537671.8988187,2939683.336980129,-5550968.068005011,3604.4735872032506,5151.7361259437885,4380.155448945865,-5.732756357623714e-06,-6.848541934445507e-06,1.5301251934829452e-05,3.505927658309821e-12,2.2640481884368378e-12,2.127955309533713e-12,1.1675576889709714e-11
7,2003-10-27 22:01:47,2591371.6486767405,3016533.128225228,-5484468.690496208,3555.3190080863164,5094.65432349307,4486.220766509766,-6.0951311433576905e-06,-7.650866206798668e-06,1.595077530947009e-05,3.503270979418708e-12,2.2597305436919574e-12,2.1289425671407036e-12,1.149236576630283e-11
8,2003-10-27 22:02:02,2644326.324638885,3092515.6035353816,-5416387.846058232,3505.135164666563,5036.099491752286,4591.007064022279,-6.62509307414183e-06,-8.44049529247215e-06,1.5586414678914196e-05,3.5012585017052194e-12,2.25564614815416e-12,2.130893918954983e-12,6.10439014206892e-12
9,2003-10-27 22:02:17,2696520.6285038926,3167608.830846788,-5346745.025522003,3453.936186280807,4976.088055296579,4694.483927689766,-7.331162788393186e-06,-9.269695811831014e-06,1.4540214722025269e-05,3.4998719823987736e-12,2.2517056772927547e-12,2.1338527359000362e-12,-3.4494563473888885e-12
10,2003-10-27 22:02:32,2747939.405272178,3241791.0447466876,-5275560.024901126,3401.7364139995475,4914.636738351932,4796.621187525666,-7.143061176773102e-06,-8.942328095784546e-06,1.2921102901408688e-05,3.4991039710884634e-12,2.24785623331161e-12,2.1378688840916817e-12,-6.706769366949043e-12
11,2003-10-27 22:02:47,2798567.790387588,3315040.819832472,-5202853.235521898,3348.550591029042,4851.762839488103,4897.389196107546,-6.629036648497788e-06,-8.220450216533948e-06,1.2071457409668085e-05,3.498935794595258e-12,2.2440680255471867e-12,2.1429839203198425e-12,-3.200970776944377e-12
12,2003-10-27 22:03:02,2848391.0673541743,3387336.9047108535,-5128645.34316121,3294.393650966221,4787.483930460471,4996.758569680224,-6.024355863054609e-06,-7.341884754374917e-06,1.2732040283403023e-05,3.4993597932353303e-12,2.240350008666967e-12,2.1492455279905966e-12,9.064882749745627e-12
13,2003-10-27 22:03:17,2897394.821473385,3458658.4040156766,-5052957.6160856495,3239.28088683491,4721.818101423071,5094.70045659343,-5.9169845760820294e-06,-7.121772635620971e-06,1.378502405113835e-05,3.5003569245216033e-12,2.2367339866379855e-12,2.1566923670762745e-12,1.838800882393709e-11
14,2003-10-27 22:03:32,2945564.7919205697,3528984.6045900476,-4975811.610037251,3183.2277701378935,4654.783700121372,5191.186262266835,-6.599634069459626e-06,-8.035862750332967e-06,1.5061741354571723e-05,3.5019191548655434e-12,2.2332882714220124e-12,2.1653686503314645e-12,2.0851506247648542e-11
15,2003-10-27 22:03:47,2992887.0315692974,3598295.166086979,-4897229.448170167,3126.250126866835,4586.399586267878,5286.18788829497,-7.503501509464883e-06,-9.330743234059469e-06,1.553543526533474e-05,3.5040269324560096e-12,2.230099723530001e-12,2.1753087749781638e-12,1.670893094896233e-11
16,2003-10-27 22:04:02,3039347.752525873,3666569.9382292894,-4817233.533384497,3068.36396439875,4516.684883950331,5379.677488333946,-8.336703029687698e-06,-1.0776755240193836e-05,1.448425061845171e-05,3.506671756054106e-12,2.227285969522684e-12,2.186552063456537e-12,3.7891250615248324e-12
17,2003-10-27 22:04:17,3084933.49012932,3733789.1582091223,-4735846.82015201,3009.5856611631443,4445.659262790412,5471.627728111301,-8.421247469581061e-06,-1.1174963284510397e-05,1.300431641215738e-05,3.509833587609283e-12,2.2249760904976535e-12,2.199127183483383e-12,-4.1806761264896744e-12
18,2003-10-27 22:04:32,3129630.944349534,3799933.2611444937,-4653092.534721121,2949.931779853173,4373.342665012181,5562.011543220502,-7.82444964464446e-06,-1.0412004844972955e-05,1.190104642745382e-05,3.5135034880204864e-12,2.2233220473474138e-12,2.2130669922465957e-12,-2.645155802876818e-12
