UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,
2024-08-16 15:54:42,-1572985.2844086937,4506390.187697122,4904871.71391904,-2011.4327225016302,5092.691779048849,-5320.877005171716,,,,-2.0809100131913283e-07,1.2886536104872448e-07,1.734806964748259e-07,1.2698958064539623e-13,
2024-08-16 16:00:42,-2152965.9388984754,5933249.270357702,2650036.8838250423,-1167.0858095265287,2726.9521610705874,-7037.579864667048,,,,-4.652851086639487e-07,7.694608576969131e-07,-7.685856040495764e-08,2.662447827889617e-12,
2024-08-16 16:06:42,-2390802.674470905,6417205.523000802,-27037.466810148617,-136.45881397647244,-74.46431112052659,-7634.264145117279,,,,-2.953215356704675e-07,6.047351703841741e-07,-5.572303696035896e-07,3.5557184073904844e-12,
2024-08-16 16:12:42,-2248757.728115371,5881492.033094086,-2699896.3297599773,914.5677129427376,-2860.586853871465,-7014.9990709035865,,,,-2.0340152984132942e-07,1.7362144877353103e-07,-7.935664076974547e-07,4.0991191999639655e-12,
2024-08-16 16:18:42,-1750192.759063305,4413305.021778215,-4943773.938924629,1817.5231961581508,-5185.167037767961,-5284.607258446082,,,,-3.316018837296042e-08,-1.1951636835760837e-07,-4.765948711238366e-07,2.595239533556976e-12,
2024-08-16 16:24:42,-975145.7686433268,2247911.0605484867,-6404899.769117722,2430.418246641788,-6683.254075691914,-2725.7941411967963,,,,-1.1668155108779388e-08,-1.2665718118753944e-07,-5.34613536551376e-07,1.9248696197764112e-12,
2024-08-16 16:30:42,-46597.87072326522,-271383.9077728486,-6855546.366790904,2659.4626967566915,-7126.456744875742,254.41018448240575,,,,8.94523483133125e-08,-3.855092775006952e-07,2.2664146115403128e-08,2.5417419987700466e-12,
2024-08-16 16:36:42,889292.7012554803,-2748176.5827953066,-6227008.22469219,2470.8505251491097,-6450.686629737616,3190.8635965387366,,,,1.2006604332981397e-07,-6.727513124360485e-08,-9.961995495189058e-08,3.498143023483355e-13,
2024-08-16 16:42:42,1685586.1626193265,-4793602.050502621,-4618453.507285273,1894.017898770483,-4761.219925324008,5627.044140576163,,,,2.5119022728503637e-07,-2.0186519478215814e-07,-2.1274812400662313e-07,2.0208305291793636e-13,
2024-08-16 16:48:42,2216887.2772367336,-6085453.396952967,-2282056.457340383,1018.000392055906,-2319.204030980869,7180.08253079488,,,,4.0739160311886735e-07,-4.823353707550382e-07,-4.296479794163588e-08,1.0367425473039039e-12,
2024-08-16 16:54:42,2398972.7342270217,-6418732.751612637,414626.69331108936,-20.194607135464956,493.11441458936247,7601.053771330494,,,,3.668418346869373e-07,-3.9118351935485407e-07,3.3748127459265476e-07,1.99999383375681e-12,
2024-08-16 17:00:42,2202598.5259201946,-5739439.362757073,3045636.3911870783,-1056.287375635799,3230.552261758468,6819.719549466736,,,,2.701828574203091e-07,-2.2134902266657264e-07,1.3315566693705705e-07,-7.397983510321152e-14,
2024-08-16 17:06:42,1658550.8827142676,-4154230.284160546,5194589.184262397,-1925.7675734537481,5458.367314619743,4958.963789920307,,,,-4.240564122071078e-08,3.0662630035038774e-07,4.900134236152098e-07,3.5368758288757553e-12,
2024-08-16 17:12:42,852726.616380559,-1913385.892906996,6521460.976018184,-2491.2115137460323,6824.412706867264,2313.7355153602307,,,,-7.546301450389592e-08,4.4178920077797557e-07,1.27744943512198e-07,2.955679363598564e-12,
