UTC,Computed Density,JB08 Density,DTM2000 Density,NRLMSISE00 Density,x,y,z,xv,yv,zv,accx,accy,accz
2023-05-04 21:59:57,6.617403459191866e-11,3.771799394831342e-13,5.979232454639845e-13,5.302433184922069e-13,-2075964.4241900581,73893.63475527664,-6547607.370272444,7217.493284322351,-705.6403822800986,-2305.9873892873584,9.704211775929394e-06,-9.678236048971112e-07,-3.109649043153695e-06
2023-05-04 22:00:12,9.759809404398136e-11,3.759450216469266e-13,5.953891938352206e-13,5.289916577348613e-13,-1967421.1779754465,63299.33439471712,-6581291.559726994,7254.599222259733,-706.9003859696412,-2185.16466281998,1.4530934379752836e-05,-1.4099002912382197e-06,-3.866862678947314e-06
2023-05-04 22:00:27,-1.5089528420511412e-11,3.7477366431173933e-13,5.930449189333307e-13,5.280133412292367e-13,-1858336.3749872302,52687.594412643026,-6613159.080551962,7289.703635739645,-707.9657183343465,-2063.7537317045344,-2.1515173260766574e-06,1.8031096686577097e-07,9.441298622903105e-07
2023-05-04 22:00:42,-2.3784045569957902e-11,3.7371154175364156e-13,5.908928585912754e-13,5.272976731918886e-13,-1748740.1195326897,42061.33744145697,-6643201.397780857,7322.797475348768,-708.8361291103828,-1941.7879454258916,-3.413976698229959e-06,2.5993193422668703e-07,1.4448500511576867e-06
2023-05-04 22:00:57,5.880309223070004e-12,3.72759606502831e-13,5.889385852433249e-13,5.268366667865836e-13,-1638662.569616666,31423.4872667789,-6671410.1886988,7353.871930796873,-709.5113919706855,-1819.300705691053,9.258832465164346e-07,-1.1563306252793115e-07,-1.3836087831009536e-08
2023-05-04 22:01:12,6.681676682397907e-12,3.7191636611582483e-13,5.871847060308199e-13,5.266193995159057e-13,-1528134.0980342466,20776.972287097946,-6697777.979597374,7382.9191482861115,-709.9913763352602,-1696.3256230955674,1.0291254943783912e-06,-6.479444415036228e-08,-1.2665085691310196e-07
2023-05-04 22:01:27,4.3076857248326005e-13,3.7118092834436904e-13,5.856354122044543e-13,5.266363596615969e-13,-1417185.1635723296,10124.722380432135,-6722297.6657100655,7409.931683405513,-710.2759925090629,-1572.8963817106826,9.937213052424454e-08,-4.694250562917168e-09,1.4914554924416734e-07
2023-05-04 22:01:42,1.4145304227111144e-13,3.705513127538666e-13,5.842940203035412e-13,5.268772381371794e-13,-1305846.3541948125,-530.3312699542148,-6744962.769031523,7434.902772799258,-710.3652185897818,-1449.046750621927,5.277383841040262e-08,-5.381387592484632e-10,1.5731702696086813e-07
2023-05-04 22:01:57,1.7170858044719956e-12,3.70026243611279e-13,5.831656422219551e-13,5.273335895479106e-13,-1194148.3213486157,-11185.257483708878,-6765767.14075481,7457.826003145154,-710.2590655152177,-1324.8105454263537,3.1244188991585986e-07,-3.5860961762612664e-08,2.5618856547282576e-07
2023-05-04 22:02:12,1.478457798028514e-12,3.696028061779005e-13,5.822537783745088e-13,5.279957502046089e-13,-1082121.8412357538,-21837.12639737429,-6784705.322105484,7478.695680200376,-709.9576077908874,-1200.2216827528382,2.5397169012286724e-07,-8.092327234698882e-08,1.8380792887739972e-07
2023-05-04 22:02:27,8.258224017776271e-13,3.6927858484209866e-13,5.815633974117512e-13,5.288559572089631e-13,-969797.7457910989,-32483.009140438575,-6801772.19606321,7497.506466139982,-709.4609531806211,-1075.314128996143,1.4746569387824593e-07,-2.619583108764978e-08,1.440484496129102e-07
2023-05-04 22:02:42,1.7492186153547272e-12,3.690497545593868e-13,5.810977929708913e-13,5.299055755367118e-13,-857206.9651258612,-43119.979497277935,-6816963.322591576,7514.253729731212,-708.7692789137845,-950.1219485827447,2.907957901143732e-07,4.265132823311202e-09,1.3414440047654352e-07
2023-05-04 22:02:57,1.323130303947766e-12,3.6891409232844925e-13,5.808614950676431e-13,5.311382071032427e-13,-744380.4736668733,-53745.113177922016,-6830274.601949764,7528.933198731777,-707.8827981094191,-824.6792529816546,2.286279570107297e-07,-6.327654164528518e-09,2.0955923396570597e-07
2023-05-04 22:03:12,9.568622437979606e-13,3.688724993441313e-13,5.80857074363474e-13,5.325470915937287e-13,-631349.3249271195,-64355.490940126045,-6841702.618595413,7541.541330269163,-706.8017979797362,-699.0202438003018,1.8960189296368668e-07,4.3448404402068874e-08,3.9853937039424636e-07
2023-05-04 22:03:27,7.178105483903904e-13,3.6894511101399933e-13,5.810880693661023e-13,5.341287381170513e-13,-518144.60614316823,-74948.19648385883,-6851244.299203832,7552.0749510453,-705.5265996905875,-573.1791577512137,1.2668135795923519e-07,-1.627022649941523e-08,2.2129611743082478e-07
2023-05-04 22:03:42,1.222058994069191e-14,3.6922896675968217e-13,5.815558351569476e-13,5.358813258665092e-13,-404797.4603597706,-85520.32023021787,-6858897.255122541,7560.531636690235,-704.0575861292134,-447.19028182888684,6.616700631845163e-09,-4.394477948199693e-08,1.5224888549880689e-07
2023-05-04 22:03:57,9.144019750947093e-13,3.702146574333384e-13,5.822624533557739e-13,5.378093962641903e-13,-291339.0528694744,-96068.95668480248,-6864659.440583466,7566.909333099072,-702.395170258538,-321.0879182961501,1.4825092176096177e-07,-1.2810774940863467e-09,1.5519887419657152e-07
