UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,
2024-05-10 00:00:27,-1678544.9166014406,2699470.205076645,6068616.405293931,-3841.6164994210294,5557.990316116023,-3537.3889469418814,,,,-5.300047677625486e-06,7.709386834697796e-06,-3.967014852612749e-06,6.517446264472362e-11,
2024-05-10 00:00:42,-1735933.2918717416,2782461.168981499,6014712.56788604,-3809.996499192312,5507.226165731212,-3649.598901682413,,,,-7.487926407367951e-06,1.0869051902506754e-05,-6.481743625386116e-06,9.452453849714647e-11,
2024-05-10 00:00:57,-1792839.4258563514,2864679.1908042734,5959133.188818932,-3777.314605899803,5454.926525141739,-3760.8047933855632,,,,1.2977194052687935e-06,-1.9586233173107814e-06,9.867813792752145e-07,-1.6278034825398633e-11,
2024-05-10 00:01:12,-1849247.465516476,2946101.3588031875,5901893.599268401,-3743.5796549817205,5401.105537214794,-3870.975557404476,,,,1.8250036917244472e-06,-2.6989621297879296e-06,1.6895952308360052e-06,-2.3573407905035564e-11,
2024-05-10 00:01:27,-1905141.6154964713,3026704.853519892,5843009.325691037,-3708.8006042301868,5345.77752389206,-3980.08023729127,,,,-4.918261082842434e-07,6.809611834412976e-07,-3.1613350426340503e-07,5.669330170116728e-12,
2024-05-10 00:01:42,-1960506.3111732856,3106467.224629751,5782496.675666636,-3672.9869008529467,5288.957523413185,-4088.088309393972,,,,-6.311102667133639e-07,8.728700637838926e-07,-6.406537389480604e-07,8.055513764795737e-12,
2024-05-10 00:01:57,-2015326.0918879618,3185366.1871197815,5720372.291823347,-3636.1482050522277,5230.660885815698,-4194.969447076508,,,,2.414985011967019e-08,-8.295459696938678e-08,4.720260893265049e-08,-6.067872283357886e-13,
2024-05-10 00:02:12,-2069585.6821053259,3263379.748089884,5656653.375859542,-3598.2945395925926,5170.903492030743,-4300.693678970504,,,,6.717510681042427e-08,-1.7031695964675464e-07,1.8017589020757896e-07,-1.5992825589591075e-12,
2024-05-10 00:02:27,-2123269.905238378,3340486.071164335,5591357.419948487,-3559.4361150375717,5109.701496534617,-4405.2312268161,,,,-1.5824271715203508e-07,1.8963262959914573e-07,3.338736043190238e-08,1.1675387315818517e-12,
2024-05-10 00:02:42,-2176363.795369032,3416663.653952036,5524502.519092809,-3519.5835305842443,5047.0716170906835,-4508.552729519842,,,,-1.8137869650658445e-07,2.581192557471468e-07,-5.3670381916504084e-08,1.8397906138157537e-12,
2024-05-10 00:02:57,-2228852.4940129626,3491891.1636824324,5456107.063001307,-3478.7475759367526,4983.03084731014,-4610.629036201561,,,,-9.00643710721738e-08,1.1478261807695844e-07,-3.013568061760452e-09,7.576627191392346e-13,
2024-05-10 00:03:12,-2280721.3617519713,3566147.6120825186,5386190.017378082,-3436.9394141939656,4917.59672090847,-4711.431419667903,,,,-6.45960440692761e-08,9.573325510103814e-08,-1.7774075544707557e-09,5.907261005300187e-13,
2024-05-10 00:03:27,-2331955.8716693055,3639412.187219261,5314770.6334851,-3394.170394302541,4850.787041536659,-4810.931372070958,,,,-1.1398337695922578e-07,1.7031825993996108e-07,8.225842673681427e-08,6.884752963784503e-13,
