UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,
2024-05-10 15:01:12,2794659.131121276,-4310147.612941435,-4557714.319843471,2919.256432306862,-4130.492665939192,5688.113295120586,,,,-1.6976738632656918e-06,2.3595516918106796e-06,-2.7435330087755005e-06,-2.5680867068613283e-11,
2024-05-10 15:02:12,2963506.2311456148,-4548264.545290353,-4206574.090427716,2706.8933516342418,-3803.794068204711,6012.251072254991,,,,-1.483134473012626e-07,1.5882845794124023e-07,-3.1635486674730373e-07,-2.4629423417470726e-12,
2024-05-10 15:03:12,3119245.3825155348,-4766264.137646291,-3836775.5738227065,2482.4845499656485,-3460.1598431604507,6309.823534430117,,,,-5.196650709748951e-08,-8.944192053661482e-09,-8.676773433080598e-08,-5.466633520187641e-13,
2024-05-10 15:04:12,3261183.13010812,-4963175.146615541,-3449953.408238516,2247.0151258959822,-3101.0990722878596,6579.492896146425,,,,-3.319284758163121e-08,-5.163538130403822e-08,-1.0664269023408224e-07,-5.216103543088886e-13,
2024-05-10 15:05:12,3388686.6824234454,-5138119.080395367,-3047818.908637826,2001.5214950238346,-2728.193199311791,6820.042387772742,,,,-1.4622197674896142e-08,-6.811413300056302e-08,-8.912910942626695e-08,-3.819302110655029e-13,
2024-05-10 15:06:12,3501186.860451517,-5290314.324301584,-2632152.5865185014,1747.0868229741075,-2343.0888731907175,7030.3830811624775,,,,4.410859233416886e-09,-1.412368284547938e-07,-9.375267806532861e-08,-2.711466265535634e-13,
2024-05-10 15:07:12,3598180.764808094,-5419079.819395833,-2204796.319047781,1484.8365475470891,-1947.4899024663,7209.559311325385,,,,9.061978900604117e-08,-2.2546565592307388e-07,3.114620783506439e-08,6.74726207528213e-13,
2024-05-10 15:08:12,3679234.168107484,-5523838.271631161,-1767645.2215654235,1215.9334387967463,-1543.1504014507655,7356.752680525722,,,,1.779121561185093e-08,-1.9630626280076058e-07,-1.9699794107097546e-07,-9.502719450029469e-13,
2024-05-10 15:09:12,3743983.6083898363,-5604118.994233365,-1322639.2543953143,941.57270683246,-1131.868289571052,7471.288147186748,,,,8.469457046800244e-08,-2.5128692016096466e-07,6.24444655983325e-08,7.021955221695408e-13,
2024-05-10 15:10:12,3792138.1456686296,-5659560.211921569,-871754.4518818754,662.9753146425264,-715.4743734408765,7552.638136861816,,,,7.508233501596351e-08,-2.8988101519189513e-07,-1.0389129556642729e-08,1.5166106035219635e-13,
2024-05-10 15:11:12,3823480.735452015,-5689910.799758896,-416994.0725443759,381.3828827350902,-295.82508011274854,7600.423410577096,,,,6.335285362979448e-08,-2.0903017539097846e-07,7.899747722639461e-08,5.803358644210382e-13,
2024-05-10 15:12:12,3837869.3259005295,-5695031.595105746,39620.409404825405,98.0524852220343,125.20527104890142,7614.41644512132,,,,7.018515457701824e-08,-2.358646540301379e-07,1.4984045498822596e-07,9.452141462485567e-13,
2024-05-10 15:13:12,3835237.603046183,-5674896.206018537,496058.4903534655,-185.7493588417984,545.7337033006344,7594.544115276146,,,,6.102257454898563e-08,-2.5112921342440586e-07,2.2255124376702184e-07,1.302960927591032e-12,
2024-05-10 15:14:12,3815595.3668549005,-5629591.225095026,950289.9364311846,-468.7531399814861,963.8787814327893,7540.888598658441,,,,8.250354177619101e-08,-2.340955669311029e-07,2.247782882047744e-07,1.2094048339067638e-12,
2024-05-10 15:15:12,3779028.511885636,-5559315.839499128,1400294.0935612111,-749.6929923420179,1377.7701994042168,7453.6867703032185,,,,1.4447647522786156e-08,-1.415254482495243e-07,2.1916749060046925e-07,1.206449170605372e-12,
2024-05-10 15:16:12,3725698.603953642,-5464380.888613433,1844069.116443731,-1027.3135804630247,1785.5581933641365,7333.328255544763,,,,1.3633433049164978e-08,-1.225278341010494e-07,3.304530165060271e-07,1.8507487616764194e-12,
2024-05-10 15:17:12,3655842.061869423,-5345207.361957595,2279641.0224491223,-1300.3758427793869,2185.4220285552656,7180.351486633369,,,,-2.575986082220538e-07,4.521730634365895e-08,2.924605073673092e-07,2.1386076401806696e-12,
2024-05-10 15:18:12,3569769.079165346,-5202324.462843477,2705072.5291077,-1567.660189996665,2575.5764861337475,6995.441361034356,,,,-1.162438181268044e-07,1.2245872049732043e-07,4.672791984461355e-07,3.180634075596588e-12,
2024-05-10 15:19:12,3467862.2931975946,-5036367.215981478,3118471.8471782957,-1827.9729757259743,2954.281144519082,6779.42898664049,,,,-5.20070289056207e-08,4.496926830910297e-08,3.4580632979341885e-07,2.173274266530261e-12,
2024-05-10 15:20:12,3350574.970930476,-4848073.485099614,3518001.312833963,-2080.1546258312937,3319.849899144217,6533.286276068295,,,,-1.445015440637576e-07,1.7869193857933396e-07,3.207492547119273e-07,2.524721775795876e-12,
2024-05-10 15:21:12,3218428.79194789,-4638280.477947856,3901885.622777173,-2323.0849854672197,3670.658447698798,6258.118983370472,,,,-1.2347924460698323e-07,1.3934763831713326e-07,2.741846483189647e-07,2.1241822688804516e-12,
2024-05-10 15:22:12,3072011.3687208216,-4407920.836206362,4268419.695958364,-2555.6871446707037,4005.151239122702,5955.160953188673,,,,-1.4557246652557865e-07,2.215097580915426e-07,2.5187114349733974e-07,2.331032437749209e-12,
