UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00
2024-05-08 22:00:42,553096.7814354171,-1053044.1162979752,-6758065.608476169,4237.530893405891,-6187.861968453114,1302.585164518845,,,,-2.3045391005505067e-06,3.2847046258499546e-06,-3.7285762033434366e-07,-2.596405831880857e-11,3.8561165587269013e-13,3.6093715094574203e-13,3.558949956599816e-13
2024-05-08 22:01:42,805940.1493099756,-1421717.927677897,-6665005.887251576,4187.479043052045,-6096.741517950293,1798.2578645121578,,,,-1.9734788903047473e-07,2.530787401866519e-07,1.4333169140456903e-07,-1.7916787018975947e-12,3.7361575292290767e-13,3.5630211349407396e-13,3.557418564080137e-13
2024-05-08 22:02:42,1055224.4200786988,-1784114.6103862328,-6542433.977046443,4118.937534807403,-5978.700473085411,2285.966051964109,,,,-1.4204888709734576e-07,1.1274755173928952e-07,-7.269576585144932e-08,-1.210469173875928e-12,3.635874836834969e-13,3.5080252143789126e-13,3.5552963626921133e-13
2024-05-08 22:03:42,1299848.7874419983,-2138633.764744725,-6390891.957488332,4032.2052339402453,-5834.2521358018585,2763.575807763023,,,,-7.044036709480395e-08,1.304034880078575e-08,9.012398205499039e-08,-9.356904906316384e-14,3.554932705786787e-13,3.447207189869609e-13,3.5485301603998564e-13
2024-05-08 22:04:42,1538732.6960874246,-2483709.160451009,-6211048.742103314,3927.6579535915703,-5664.02231830613,3228.9940714792997,,,,-2.3994893538770157e-07,1.2927489212444243e-07,3.0703271036713886e-09,-1.4124245047946124e-12,3.49248735235982e-13,3.386560601213502e-13,3.5372325236940367e-13
2024-05-08 22:05:42,1770820.449833853,-2817815.5169662125,-6003697.41693886,3805.748541478949,-5468.749781497973,3680.176996197654,,,,-1.6333647323563127e-08,-3.050342156640795e-08,2.137482368880228e-08,1.5564274991814828e-13,3.447532692097213e-13,3.3335982258160127e-13,3.524788757984334e-13
2024-05-08 22:06:42,1995085.7776964167,-3139475.1361490795,-5769751.92509095,3667.0043622554163,-5249.280850315564,4115.140891396304,,,,-1.1444118452885732e-07,5.012901427292604e-08,-1.1486845163943826e-07,-9.805904945532167e-13,3.419006406075125e-13,3.2949520180239946e-13,3.5163584322506325e-13
2024-05-08 22:07:42,2210536.2308641546,-3447264.2422614046,-5510243.316841528,3512.0255216197975,-5006.566552888256,4531.966968646821,,,,-9.064510342327026e-08,7.156472037195272e-08,-1.1384685461024446e-07,-1.0116231778971576e-12,3.405819203316203e-13,3.2741887139044996e-13,3.5171983950498437e-13
2024-05-08 22:08:42,2416217.549474812,-3739819.2364799986,-5226315.59372654,3341.484451195918,-4741.661260020253,4928.810613870784,,,,-4.675447984325842e-08,-1.0753824497555797e-08,-1.7758419712521345e-07,-8.320177691821087e-13,3.406846392365862e-13,3.271024300383088e-13,3.5312209233663925e-13
2024-05-08 22:09:42,2611217.915022104,-4015842.782282579,-4919220.973338762,3156.123102202887,-4455.718571287252,5303.910815238696,,,,-4.728498481654242e-08,-1.256056236798031e-08,-2.5341000053913376e-07,-1.2190331747321465e-12,3.420907625326787e-13,3.282469683731912e-13,3.5600975275404754e-13
