UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,
2024-09-15 14:35:42,-699277.9177290115,2842751.7913997886,6178626.547710654,-2000.1385188474403,6614.411367680919,-3255.3466642406106,,,,4.966424849150997e-07,-3.3149672504784178e-06,1.1120224305827264e-06,-2.2285580344271627e-11,
2024-09-15 14:36:42,-817634.3147809128,3232969.271322001,5969607.772876154,-1943.6047786160261,6387.991491109877,-3709.3449412287578,,,,-6.456082517480866e-07,3.1105188913471693e-07,-1.2340523092291278e-07,3.1054333998226832e-12,
2024-09-15 14:37:42,-932336.748935008,3608739.680210524,5733837.389544138,-1878.3851680979633,6133.021313852052,-4146.7337855311725,,,,-6.856520113895925e-07,4.7700425298558e-07,-3.4614147192968403e-07,4.74250468623541e-12,
2024-09-15 14:38:42,-1042872.6239978251,3968383.48255668,5472371.206828001,-1804.771256084715,5850.637991985606,-4565.550908337557,,,,-7.131254711190138e-07,6.129652270203678e-07,-2.7828152404651973e-07,5.154919890398165e-12,
2024-09-15 14:39:42,-1148747.973479526,4310293.141663526,5186380.421119096,-1723.0922740857015,5542.103774994114,-4963.914025633964,,,,-6.936773204735402e-07,6.360633095781054e-07,-2.61821386793315e-07,5.049168836523468e-12,
2024-09-15 14:40:42,-1249489.6840877922,4632940.4885027,4877146.51911622,-1633.7138301981174,5208.801016093736,-5340.030606528759,,,,-7.109403026284156e-07,8.06439301115347e-07,-4.3112130221345524e-07,6.4279306716153515e-12,
2024-09-15 14:41:42,-1344647.6454717577,4934883.756352493,4546055.643689219,-1537.037141422043,4852.226605854847,-5692.205965406867,,,,-8.419230121958776e-07,7.161452959536518e-07,-1.885826996783635e-07,4.894926592887977e-12,
2024-09-15 14:42:42,-1433796.8716829845,5214774.308782905,4194592.444684882,-1433.4980055845947,4473.986836000207,-6018.853219430801,,,,-8.027830677992398e-07,7.437255797881903e-07,-3.119387397276796e-07,5.325530903979911e-12,
2024-09-15 14:43:42,-1516539.4787803409,5471362.927528771,3824333.288402637,-1323.5634940995299,4075.787610322562,-6318.503001927468,,,,-7.547779554695211e-07,5.858208345088656e-07,-4.296105826639973e-07,5.114246704001749e-12,
2024-09-15 14:44:42,-1592506.493790842,5703505.523922237,3436939.044686579,-1207.7299977565144,3659.426197043359,-6589.809044376148,,,,-7.683687648363247e-07,7.59290231577836e-07,-6.26500742839653e-07,6.5679833212533795e-12,
2024-09-15 14:45:42,-1661359.547340787,5910168.382006041,3034147.510755313,-1086.5207395622685,3226.7828957929555,-6831.554151272734,,,,-8.014509278453374e-07,7.175912930534878e-07,-5.23686541242796e-07,5.66768279992975e-12,
2024-09-15 14:46:42,-1722792.4068677626,6090432.904906966,2617765.5056674774,-960.4833822157769,2779.81346755789,-7042.656033195849,,,,-7.820078180564849e-07,7.220743833968868e-07,-6.082349064406856e-07,5.901404773404504e-12,
2024-09-15 14:47:42,-1776532.3743413147,6243499.871555822,2189660.5674814233,-830.1877188116728,2320.5395994530495,-7222.173748796992,,,,-7.825479277911995e-07,6.668189156400217e-07,-6.78284851840516e-07,5.947972751205235e-12,
2024-09-15 14:48:42,-1822341.5464904858,6368693.093972005,1751752.3480997498,-696.2232823793773,1851.0391287168616,-7369.311810071336,,,,-7.074204781964966e-07,6.938837664449693e-07,-7.197114344492661e-07,5.9359231694498716e-12,
2024-09-15 14:49:42,-1860017.9095893241,6465462.4998505935,1306003.755753552,-559.1963577050554,1373.4364293723888,-7483.424657964371,,,,-7.728944324547626e-07,6.588855914202441e-07,-8.119598953193474e-07,6.216961614854145e-12,
2024-09-15 14:50:42,-1889396.2473460785,6533386.602404677,854411.8440462413,-419.7267240883729,889.8914371444787,-7564.01993177195,,,,-7.013833576152706e-07,5.678750198967464e-07,-8.335361842970457e-07,5.960792169653008e-12,
2024-09-15 14:51:42,-1910348.8684703475,6572174.315834986,398998.5605972664,-278.44494805862024,402.589085000396,-7610.760595330098,,,,-6.774712293378116e-07,5.184440894367981e-07,-8.977094627660165e-07,6.068721560332827e-12,
2024-09-15 14:52:42,-1922786.1630460932,6581666.123180766,-58198.62570150704,-135.98937581370112,-86.27164511816898,-7623.466404108422,,,,-6.507504939357034e-07,4.232386991986914e-07,-9.024608122049083e-07,5.8221772182845695e-12,
2024-09-15 14:53:42,-1926656.9734154874,6561834.6019643005,-515136.1478495603,6.9972136320103235,-574.4884402652423,-7602.114418523119,,,,-5.841520391847155e-07,3.196946387618027e-07,-9.485999223901587e-07,5.903917921439231e-12,
2024-09-15 14:54:42,-1921948.7550560622,6512784.292063375,-969773.7733796701,149.87098444516897,-1059.8667101866106,-7546.838485503175,,,,-5.716872966132769e-07,2.5474659715030157e-07,-9.623245751377851e-07,5.809577730844922e-12,
2024-09-15 14:55:42,-1908687.5481181825,6434750.912922612,-1420083.9654284562,291.9902858681604,-1540.2301054450234,-7457.927630151913,,,,-5.130808640174678e-07,1.6994514506762926e-07,-9.509833254206512e-07,5.623900844957205e-12,
2024-09-15 14:56:42,-1886937.7470538574,6328099.963147042,-1864061.1322668463,432.71854325921026,-2013.4306215964295,-7335.8239536808815,,,,-4.852136483712854e-07,1.0115197568438816e-07,-9.286749400594374e-07,5.390870648788539e-12,
2024-09-15 14:57:42,-1856801.7208607304,6193324.7144132685,-2299730.7391647454,571.4272781967325,-2477.358976735527,-7181.120113640654,,,,-4.0001068812856033e-07,3.938350534582469e-08,-8.851926893704842e-07,5.084841029929532e-12,
2024-09-15 14:58:42,-1818419.2175172088,6031043.571532563,-2725158.2377480576,707.4993453380496,-2929.95501294587,-6994.555582966789,,,,-3.5643013651665e-07,4.156115451792175e-10,-9.130450195904416e-07,5.175560055021993e-12,
2024-09-15 14:59:42,-1771966.6007828903,5841996.825897157,-3138457.72773321,840.3319250767149,-3369.217640159119,-6777.011503952928,,,,-3.52375786327741e-07,-1.299652394592954e-07,-7.660945220422377e-07,4.5058335230135504e-12,
2024-09-15 15:00:42,-1717655.904811237,5627042.840308229,-3537800.2820753944,969.3392548650172,-3793.2135268596585,-6529.504910143678,,,,-2.8938662888222666e-07,-1.6516478140715662e-07,-8.034729805928009e-07,4.728582646183773e-12,
2024-09-15 15:01:42,-1655733.733172337,5387153.736514252,-3921421.918469384,1093.9551325225166,-4200.085475894762,-6253.182454390682,,,,-2.6588827806151016e-07,-1.9233728743017764e-07,-7.507010968410555e-07,4.410271706134095e-12,
2024-09-15 15:02:42,-1586480.0257627345,5123410.599770309,-4287631.1721470235,1213.6349436514402,-4588.059601190045,-5949.313673612021,,,,-2.539502597098675e-07,-2.1066506761258097e-07,-6.718910317005111e-07,3.9435334666033565e-12,
2024-09-15 15:03:42,-1510206.6928803092,4836998.278414439,-4634816.277976125,1327.8580092847014,-4955.452219133045,-5619.284440531314,,,,-1.7375039162992323e-07,-2.577055076002921e-07,-6.21099978559414e-07,3.8464142570621906e-12,
2024-09-15 15:04:42,-1427256.113611282,4529199.772935427,-4961451.92586737,1436.129584732792,-5300.676239904564,-5264.589600896701,,,,-1.7282037112487103e-07,-2.965163146129157e-07,-5.512609320135198e-07,3.5862257048729772e-12,
2024-09-15 15:05:42,-1337999.5345513534,4201390.271721199,-5266105.58840488,1537.9825378418848,-5622.246789623653,-4886.8258468610275,,,,-1.2887907496761386e-07,-2.8875997415411803e-07,-4.684114500719261e-07,3.154905807133748e-12,
2024-09-15 15:06:42,-1242835.3580692199,3855030.841507921,-5547443.413726709,1632.9790668508977,-5918.786904357801,-4487.684278952902,,,,-4.448583901250913e-08,-3.536227834999295e-07,-4.4512991959066994e-07,3.4159233089262947e-12,
2024-09-15 15:07:42,-1142187.3359383275,3491661.81342513,-5804235.644618701,1720.712247188485,-6189.032394325552,-4068.9424516680815,,,,-1.108569378516222e-07,-2.2430145740770513e-07,-3.751589181533177e-07,2.316969118099097e-12,
2024-09-15 15:08:42,-1036502.660160817,3112895.852423915,-6035361.576840927,1800.8080145652857,-6431.837043675805,-3632.4562955938272,,,,-4.547187337777814e-08,-2.7159160076450917e-07,-3.110453405952285e-07,2.3792562161090968e-12,
2024-09-15 15:09:42,-926249.9445437347,2720410.7632448114,-6239813.9557038,1872.9264337216246,-6646.17602014316,-3180.149957883307,,,,-3.3446434954953475e-08,-2.9409908330890744e-07,-3.1802316691198484e-07,2.473175205869204e-12,
2024-09-15 15:10:42,-811917.1613900505,2315942.1642226423,-6416702.826744875,1936.7623731283054,-6831.147473616272,-2714.008126082869,,,,-5.1052636562687326e-09,-5.1285423463554025e-08,-3.1685140200465867e-07,1.02254251852934e-12,
2024-09-15 15:11:42,-694009.5237579216,1901276.0208694497,-6565258.936528874,1992.0463320372635,-6985.975380122544,-2236.0680291745684,,,,-2.412384469963058e-08,-2.074413667507713e-07,-2.0795284427777005e-07,1.591217214671543e-12,
2024-09-15 15:12:42,-573047.3252935818,1478241.0640852274,-6684836.636543243,2038.5453252362645,-7110.010356752577,-1748.4115661374694,,,,1.1039590752659478e-07,-3.073791028374018e-07,-1.955798687447441e-07,2.348057336629793e-12,
2024-09-15 15:13:42,-449563.7254172961,1048701.1165200446,-6774916.385219554,2076.0635429544195,-7202.732873760762,-1253.159056079217,,,,9.609948370403743e-08,-4.089487559699734e-07,-7.106346444629708e-08,2.7597598293351105e-12,
2024-09-15 15:14:42,-324102.4928699054,614547.1924997682,-6835106.7540440895,2104.443404821387,-7263.756050737182,-752.4587139170852,,,,9.987114274467856e-08,-2.4596628245276975e-07,-4.9625141329556754e-08,1.7360664006332749e-12,
2024-09-15 15:15:42,-197215.69741649806,177689.57761479646,-6865145.817789723,2123.5654743716455,-7292.824230628759,-248.47818729720055,,,,1.1328192234261181e-07,6.316966727482054e-08,3.7215177073335326e-07,-2.6720874337047436e-13,
2024-09-15 15:16:42,-69461.45952730477,-259950.0705709018,-6864902.149608034,2133.3476719960568,-7289.814641683184,256.60167998532233,,,,7.54316680784406e-08,-3.978570966012285e-07,5.453951068545848e-08,2.6244947184427617e-12,
2024-09-15 15:17:42,58598.341200653056,-696446.7385982408,-6834375.289213708,2133.747020907157,-7254.7372769789345,760.5978553312821,,,,1.3254708954024697e-07,-9.662442657099035e-08,-1.0050124288341067e-08,8.330435990735019e-13,
2024-09-15 15:18:42,186400.40414953115,-1129879.8970490743,-6773695.711185731,2124.7587247691145,-7187.732042950883,1261.3290970572289,,,,1.5044038950695615e-07,1.5305760947548208e-07,1.43264630381168e-07,-5.122243352501967e-13,
2024-09-15 15:19:42,313382.28187983483,-1558341.4237238867,-6683124.570110845,2106.4164129239184,-7089.073328000961,1756.6224910142034,,,,1.2498981960540334e-07,-5.8570789107648125e-08,1.8323657968721818e-07,8.52511421757711e-13,
2024-09-15 15:20:42,438984.7404541422,-1979943.719983402,-6563052.8249236895,2078.793766614521,-6959.170120121777,2244.32624053476,,,,1.813038039699677e-07,-1.515611205427092e-07,-5.994970386780096e-08,1.106266008582529e-12,
2024-09-15 15:21:42,562654.164914334,-2392827.6335109547,-6413999.682360585,2042.003909776712,-6798.560960524485,2722.3179686271005,,,,1.984472872695875e-07,1.6052936224753012e-07,2.1907541025711907e-07,-7.78063298881293e-14,
2024-09-15 15:22:42,683844.8640860047,-2795170.197622756,-6236610.7261776365,1996.1980917104806,-6607.914318768984,3188.50840556951,,,,1.6895640608804996e-07,4.838190381661889e-08,-1.0920035631301062e-07,-2.8093591832684696e-13,
2024-09-15 15:23:42,802021.3972141324,-3185192.512976164,-6031655.610413784,1941.5665782093986,-6388.02980339999,3640.853810563509,,,,2.2797224918935655e-07,5.984668405289995e-08,-1.2901956836230966e-08,1.1428643761284202e-14,
2024-09-15 15:24:42,916660.8609325071,-3561167.409651488,-5800024.985564724,1878.3367104406018,-6139.831166566148,4077.3653241497914,,,,2.7023858728547623e-07,4.511428564057951e-09,-8.26905983686288e-08,1.2217621433967472e-13,
2024-09-15 15:25:42,1027255.0961500295,-3921426.8120713905,-5542727.077574976,1806.7727421125328,-5864.364502001094,4496.1137853490845,,,,2.416392881343654e-07,4.12926581816464e-10,-7.662879397685174e-08,7.69850169363202e-14,
2024-09-15 15:26:42,1133312.9109615125,-4264369.048129926,-5260883.861868923,1727.176003155038,-5562.796632023364,4895.238281937598,,,,3.4188714281846444e-07,-1.0771416825150482e-07,-1.0739241851354109e-07,5.656015717512314e-13,
2024-09-15 15:27:42,1234362.2838291614,-4588465.993646156,-4955726.694339138,1639.8837866063,-5236.41183006192,5272.955092421543,,,,3.1995213412017165e-07,-8.773513382465126e-08,-1.431969804954747e-07,1.9645049677345777e-13,
2024-09-15 15:28:42,1329952.4768387508,-4892270.013461302,-4628591.428124922,1545.2682814257594,-4886.607927433166,5627.566232975648,,,,3.367737047010877e-07,-1.450741544672951e-07,-1.469108861229529e-07,3.440334830069458e-13,
2024-09-15 15:29:42,1419656.1166965575,-5174420.616175996,-4280912.989322854,1443.735731977454,-4514.89094798247,5957.4686314809405,,,,3.908466730262461e-07,-2.3150790173787072e-07,-1.6749261178006236e-07,5.220255294661249e-13,
2024-09-15 15:30:42,1503071.1626983294,-5433650.751687903,-3914219.45143842,1335.7240722042043,-4122.868396503733,6261.161648064333,,,,3.796540961609196e-07,-2.4890365857288543e-07,-8.637964743485327e-08,8.435969203753836e-13,
2024-09-15 15:31:42,1579822.7730724923,-5668792.727754655,-3530125.7026072987,1221.7017900473236,-3712.244113584581,6537.253032243202,,,,4.182681374587105e-07,-2.0578499171364228e-07,-2.6792440266376616e-08,9.3313656026741e-13,
2024-09-15 15:32:42,1649565.0967213106,-5878783.873312519,-3130326.705646082,1102.166333266547,-3284.813945571649,6784.46773321066,,,,4.661626205049174e-07,-4.673098015217647e-07,-3.8356495313252026e-08,1.5175458254197731e-12,
2024-09-15 15:33:42,1711982.916409174,-6062671.791373414,-2716590.169760807,977.6408540472805,-2842.4556974427455,7001.65690308067,,,,4.4951623534572605e-07,-3.8543674829583097e-07,7.089985043506886e-08,1.7200462936382763e-12,
2024-09-15 15:34:42,1766793.1348686996,-6219618.971649764,-2290748.8659025356,848.6728707102169,-2387.1204651109506,7187.801179170206,,,,4.3688830686505753e-07,-3.313319414388616e-07,-2.516169939070778e-09,9.70205514181239e-13,
2024-09-15 15:35:42,1813746.20402874,-6348907.042866067,-1854692.6809997237,715.8326747591166,-1920.8269488894825,7342.017608420871,,,,4.27722971707567e-07,-2.787814477045458e-07,1.8008817859183068e-07,1.8277688785853737e-12,
2024-09-15 15:36:42,1852627.3981701112,-6449940.530038639,-1410360.2038340664,579.7101733578631,-1445.6512359136598,7463.566448794249,,,,4.57519338414869e-07,-5.200007491268366e-07,2.1873261912830344e-07,2.2392238720862022e-12,
2024-09-15 15:37:42,1883257.9126161803,-6522249.9846557425,-959730.002521474,440.9125330219701,-963.7164329753494,7551.855511230928,,,,4.3843337715898656e-07,-3.0226984115699906e-07,1.6746852660176614e-07,1.4777535252344096e-12,
2024-09-15 15:38:42,1905495.8154004086,-6565494.511016962,-504811.6696633248,300.06098339258654,-477.1830230436421,7606.443314349572,,,,3.717155983018472e-07,-1.8935644874318314e-07,2.9234308973613565e-07,2.043505048577795e-12,
2024-09-15 15:39:42,1919236.8041941375,-6579463.727575528,-47636.67505213695,157.78835752324932,11.760883545801548,7627.042866575659,,,,3.4945625593252316e-07,-3.1421284774069136e-07,5.44744379438189e-07,3.5407925521965754e-12,
2024-09-15 15:40:42,1924414.8106488348,-6564079.060951253,409751.0049631919,14.735499875138421,500.91182441304375,7613.524163582419,,,,3.9542251961677266e-07,-3.6862568286721853e-07,4.949771911233469e-07,3.023053072553103e-12,
2024-09-15 15:41:42,1921002.3653713982,-6519394.3416511975,865304.2886589713,-128.45230705207098,988.06125843171,7565.913888657849,,,,3.627478255552319e-07,-3.6517656276657817e-07,5.016744726304978e-07,2.8530303400315703e-12,
2024-09-15 15:42:42,1909010.761813602,-6445595.822431253,1316982.4235780495,-271.12881107361255,1471.0056088558745,7484.39638543174,,,,3.629331621901599e-07,-4.000708475615511e-07,7.116552780406238e-07,3.90370797088073e-12,
2024-09-15 15:43:42,1888490.038028169,-6343001.5333358105,1762760.4185818378,-412.6488311835137,1947.5574982410344,7369.312258822204,,,,3.7666493657440014e-07,-1.5164383171395457e-07,5.951083235089527e-07,3.3076820581533326e-12,
2024-09-15 15:44:42,1859528.9147450146,-6212060.054265944,2200638.401983755,-552.368509514622,2415.5541137504106,7221.158875508199,,,,3.932456378308302e-07,-3.1667672928392676e-07,4.96294337626324e-07,2.1915394113745095e-12,
2024-09-15 15:45:42,1822254.5453063631,-6053348.666016839,2628651.11310973,-689.652302129421,2872.871144594447,7040.591878153773,,,,2.1217599766032436e-07,3.620298851814141e-07,7.634610237339245e-07,5.257254397346443e-12,
2024-09-15 15:46:42,1776831.7859386373,-5867570.601388405,3044877.1709732087,-823.8792068074366,3317.435973470398,6828.416860501709,,,,4.141843543692403e-07,-4.522892247393884e-07,1.0608800002920304e-06,4.54596726637784e-12,
2024-09-15 15:47:42,1723462.3049143236,-5655551.687196244,3447447.8503095573,-954.4433874167137,3747.2358340495807,6585.5820494239815,,,,7.385409706017754e-08,3.426153387664499e-07,2.7608070851670163e-07,2.5395917426469414e-12,
2024-09-15 15:48:42,1662383.6564124045,-5418236.674739871,3834555.49368857,-1080.7543235206226,4160.319700219488,6313.176003091755,,,,2.3804847870678714e-07,2.256162536795614e-07,1.3514776364687009e-06,7.734832666805446e-12,
2024-09-15 15:49:42,1593868.3241682951,-5156685.17836943,4204462.095669938,-1202.239109691569,4554.81383083602,6012.430619384493,,,,3.8317757455885726e-07,-4.784950311531588e-07,3.343989147808202e-07,-5.178389682501456e-13,
2024-09-15 15:50:42,1518222.493231067,-4872066.4842273,4555507.577579401,-1318.3483267094914,4928.937821089108,5684.709373997018,,,,7.812330338197171e-09,7.686736402945371e-07,1.1319698689504776e-07,3.701084132433895e-12,
2024-09-15 15:51:42,1435784.512943455,-4565653.771254848,4886117.243992464,-1428.5590254889662,5281.008568446376,5331.493290397054,,,,2.379022889797966e-08,4.7196545249761357e-07,6.251208128915664e-07,4.858672579437504e-12,
2024-09-15 15:52:42,1346923.3269983493,-4238818.235564357,5194808.7192929685,-1532.3749642616458,5609.443970138541,4954.378048032928,,,,2.2304424907026998e-07,3.3089965700838775e-07,5.2395728644683e-07,3.4505635475015097e-12,
2024-09-15 15:53:42,1252036.7380155306,-3893022.7268939507,5480198.578608063,-1629.330872959882,5912.771457186286,4555.064436992925,,,,-5.466909414053589e-08,8.043843644500726e-07,1.0166113995069281e-07,4.448596469793129e-12,
2024-09-15 15:54:42,1151549.5336963884,-3529815.106507911,5741008.40306217,-1718.9923196873292,6189.630788389212,4135.351531247145,,,,-3.77876847590386e-08,7.519791012100541e-07,5.404572336331626e-07,5.8357619822033696e-12,
