UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,
2024-05-09 23:45:27,-6418771.64868753,-3151647.013039514,-536391.1559165018,-975.5794247174508,753.5358475061779,7354.223450210217,,,,-3.158451038487442e-07,-1.9374732440624598e-07,-1.1546301292852945e-07,-4.902534986894157e-13,
2024-05-09 23:45:42,-6432623.164993535,-3139960.681310752,-426016.8031502008,-871.2507101699873,804.6107018627674,7362.057600179161,,,,-3.351002213491938e-07,-2.434501240600184e-07,3.2622042900332104e-08,2.433530161606305e-13,
2024-05-09 23:45:57,-6444908.076419122,-3127509.6558892094,-315538.41397156514,-766.7031747160479,855.4928503335121,7368.094634652367,,,,-3.1338432737726407e-07,-2.9957869474017684e-07,-2.363031315066877e-08,-1.3381340881008362e-13,
2024-05-09 23:46:12,-6455623.294541415,-3114296.9220824093,-204982.95863517013,-661.9625052677055,906.1697584845715,7372.332840254939,,,,-3.542921511723307e-07,-2.1925938620270813e-07,-2.2191737475418805e-08,-8.907484645685991e-14,
2024-05-09 23:46:27,-6464766.114546541,-3100325.6518629785,-94377.42960525106,-557.0544389274522,956.6289363429406,7374.770952168867,,,,-2.24002087989561e-07,-2.5027372219099675e-07,-5.629307954502227e-08,-3.7775284286893103e-13,
2024-05-09 23:46:42,-6472334.219662477,-3085599.204909983,16251.165033816544,-452.0047665589882,1006.8579454433648,7375.408159314652,,,,-3.705833764300337e-07,-2.5489347876828106e-07,3.617401810040999e-08,1.3002817780942387e-13,
2024-05-09 23:46:57,-6478325.678653768,-3070121.1263215346,126875.80847167806,-346.83931583470655,1056.8444018979956,7374.244102298006,,,,-2.5277587667460466e-07,-2.566318966223946e-07,-5.280404061225319e-08,-4.084224578491492e-13,
2024-05-09 23:47:12,-6482738.949563009,-3053895.1473111003,237469.48191530636,-241.58394908336692,1106.5759759889008,7371.278878547668,,,,-3.5000718767719263e-07,-1.6401522895392873e-07,-1.4531181258270465e-09,-7.470554954002006e-14,
2024-05-09 23:47:27,-6485572.876991924,-3036925.1828181557,348005.1713489,-136.26455648690515,1156.0404002153784,7366.513032862087,,,,-3.1611171102952085e-07,-3.6829451799391677e-07,3.498907047427835e-08,-8.669977541976872e-14,
2024-05-09 23:47:42,-6486826.695661086,-3019215.3320754906,458455.87441763503,-30.907048743639887,1205.2254716858936,7359.94756641288,,,,-3.3376958619157904e-07,-1.9866979306115695e-07,-1.37665607802262e-08,-2.3427201504738703e-13,
2024-05-09 23:47:57,-6486500.027485957,-3000769.876118094,568794.6071044486,74.46264882819858,1254.1190540263813,7351.583932343388,,,,-2.894643573725375e-07,-2.480115988134912e-07,1.710884864891682e-07,6.652454153379695e-13,
2024-05-09 23:48:12,-6484592.884926776,-2981593.27823446,678994.4106761492,179.8186010522944,1302.7090809801934,7341.424036155126,,,,-3.9042105193232146e-07,-2.9959970948567616e-07,-2.7334563168501802e-08,-4.705348768270413e-13,
2024-05-09 23:48:27,-6481105.667887157,-2961690.1813983517,789028.3582503251,285.1348700677047,1350.9835633333842,7329.470236028599,,,,-2.6264790342622746e-07,-1.7317851330744816e-07,1.5493060345761478e-07,5.94358627996561e-13,
2024-05-09 23:48:42,-6476039.166914071,-2941065.4086084636,898869.5618954309,390.38552594509804,1398.9305876147716,7315.72534833798,,,,-3.6255259772133286e-07,-2.665676963609087e-07,2.668646925663154e-08,-2.2573131285719315e-13,
2024-05-09 23:48:57,-6469394.559844761,-2919723.9601930496,1008491.1791205433,495.544648066223,1446.5383258426655,7300.192638339332,,,,-3.773029266795902e-07,-2.2202262384141136e-07,6.190553047957792e-08,-3.731429643856764e-14,
2024-05-09 23:49:12,-6461173.414721301,-2897671.013981605,1117866.4200910968,600.5863428832251,1493.7950358584133,7282.8758272918685,,,,-3.624135205271273e-07,-2.550221585018164e-07,1.3793700204267623e-07,2.938460272611166e-13,
2024-05-09 23:49:27,-6451377.686187,-2874911.9225313175,1226968.5539047024,705.4847429631412,1540.689064601106,7263.779087522183,,,,-2.773706180292379e-07,-1.8697863790606561e-07,1.3550126887196257e-07,3.6086860919081773e-13,
2024-05-09 23:49:42,-6440009.718186347,-2851452.2132038437,1335770.9158351454,810.2140200313003,1587.2088540849209,7242.907037496884,,,,-3.1910941622470546e-07,-2.4846909063569456e-07,9.292747371603127e-08,1.719797403389337e-14,
2024-05-09 23:49:57,-6427072.240195853,-2827297.585348191,1444246.9134716669,914.7483918889386,1633.3429397910504,7220.26474163336,,,,-3.6738612774200874e-07,-2.859119723197523e-07,2.1324583499016114e-07,5.309842174207303e-13,
2024-05-09 23:50:12,-6412568.369681462,-2802453.910258143,1552370.034020743,1019.0621250253205,1679.079955548392,7195.857706993706,,,,-3.19727004871595e-07,-2.2504586016935946e-07,8.816967422831112e-08,-4.68524086953764e-14,
2024-05-09 23:50:27,-6396501.608115586,-2776927.228280955,1660113.8502701416,1123.1295403511997,1724.4086337243618,7169.6918772044155,,,,-4.1555135066317916e-07,-2.449257832104479e-07,2.0108704434917968e-07,3.9944201963324867e-13,
2024-05-09 23:50:42,-6378875.843260551,-2750723.748697065,1767452.0278612382,1226.9250211724795,1769.317807195502,7141.773638918313,,,,-3.044634997451112e-07,-2.3998887899168153e-07,2.0813565337896023e-07,4.959164367321548e-13,
2024-05-09 23:50:57,-6359695.345066267,-2723849.8468195894,1874358.331089619,1330.4230149813475,1813.7964142214064,7112.109815831771,,,,-3.5198170955652586e-07,-1.8864411144292603e-07,1.9228955627781374e-07,4.021377910970089e-13,
2024-05-09 23:51:12,-6338964.767824076,-2696312.063812787,1980806.6303209844,1433.598040886417,1857.8334950631374,7080.7076710906385,,,,-2.85983328573991e-07,-1.7743271252257387e-07,2.3950235439329504e-07,6.876627908473838e-13,
2024-05-09 23:51:27,-6316689.145877894,-2668117.103724647,2086770.9077033338,1536.424697650751,1901.418202295397,7047.574906461834,,,,-2.58975843436815e-07,-2.641795835423011e-07,1.115879486590643e-07,-7.893319046936669e-14,
2024-05-09 23:51:42,-6292873.895506383,-2639271.8331510862,2192225.2647158396,1638.8776729585816,1944.5398019594434,7012.719663570231,,,,-3.4612136978751096e-07,-1.9331712719505845e-07,3.0709792975258665e-07,8.703880063863889e-13,
2024-05-09 23:51:57,-6267524.810420399,-2609783.278176633,2297143.9277065336,1740.931746572819,1987.1876743169728,6976.15052006478,,,,-2.5672470549409354e-07,-2.2797035104105134e-07,1.8179879335278315e-07,2.6645093014446465e-13,
2024-05-09 23:52:12,-6240648.063370084,-2579658.623889877,2401501.255491773,1842.5618095170141,2029.3513254822153,6937.876489069811,,,,-2.5467836106685127e-07,-2.2654608144989652e-07,2.73739103828774e-07,6.978053071789735e-13,
2024-05-09 23:52:27,-6212250.201399089,-2548905.2112409337,2505271.7447253517,1943.7428618413153,2071.0203833210558,6897.907009222725,,,,-2.6919483708809366e-07,-1.9261471262410623e-07,2.840645327850666e-07,7.459618451707315e-13,
2024-05-09 23:52:42,-6182338.147154148,-2517530.5364264636,2608430.0374545977,2044.450029154807,2112.1846051073867,6856.251947283011,,,,-2.812307746680176e-07,-1.4587176577762762e-07,3.075243446559739e-07,8.807659779944048e-13,
2024-05-09 23:52:57,-6150919.193946354,-2485542.2476909435,2710950.9262302835,2144.658559841669,2152.8338760723723,6812.921584537678,,,,-2.581746745278224e-07,-2.941298427039385e-07,2.772544700491153e-07,5.060233528927479e-13,
2024-05-09 23:53:12,-6118001.006878348,-2452948.144611096,2812809.36161237,2244.3438357635946,2192.9582182523477,6767.926622317412,,,,-2.036233466284898e-07,-1.839034444728327e-07,3.1703751623979315e-07,9.234873054394595e-13,
2024-05-09 23:53:27,-6083591.617790332,-2419756.1748623424,2913980.4570493666,2343.481376617222,2232.5477819759235,6721.2781690884785,,,,-1.971470116046703e-07,-1.2092223222737175e-07,2.264374256988333e-07,5.681499073536768e-13,
2024-05-09 23:53:42,-6047699.426184344,-2385974.43340264,3014439.4964119373,2442.046844956648,2271.59285845002,6672.987742251877,,,,-2.2955600265106568e-07,-1.3470776405455354e-07,3.1810241241103654e-07,9.026578660527549e-13,
2024-05-09 23:53:57,-6010333.194031593,-2351611.1592171756,3114161.9386541634,2540.0160494376173,2310.0838749566137,6623.067265309353,,,,-1.9286340258162227e-07,-2.975030781726673e-07,3.9183310107659963e-07,1.0191101041839017e-12,
2024-05-09 23:54:12,-5971502.046492044,-2316674.7344177705,3213123.42533714,2637.364953741482,2348.011398531655,6571.529062733819,,,,-1.517143237705909e-07,-9.782892140819399e-08,2.7544744574115043e-07,8.477373326806951e-13,
2024-05-09 23:54:27,-5931215.466613362,-2281173.680976066,3311299.785124859,2734.0696798475788,2385.3661372924953,6518.38585933383,,,,-1.5214600868063144e-07,-1.5998697877606105e-07,4.0410837964799384e-07,1.3185969132270517e-12,
2024-05-09 23:54:42,-5889483.295838647,-2245116.659725818,3408667.0413174448,2830.1065182845455,2422.138945649962,6463.650775557857,,,,-1.1734336968771686e-07,-1.9721645694303902e-07,3.457805619611065e-07,1.0236309368117616e-12,
