UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,
2024-10-09 13:00:42,-1701883.7822065153,2552910.894175876,6157445.391272811,-1814.3559871120435,6639.903915926523,-3247.0402849035677,,,,8.988142652377462e-07,-3.6560119105466526e-06,1.4259535809912904e-06,-2.906838082102583e-11,
2024-10-09 13:01:42,-1806932.2167092604,2945413.373049381,5949220.8552950695,-1685.9735897818136,6438.720896785701,-3691.245637618329,,,,-1.0450869147859976e-07,-2.6698848998307767e-07,1.0622461488196677e-07,-1.8416085956738832e-12,
2024-10-09 13:02:42,-1904052.1030873961,3324991.5225803563,5714819.0593203595,-1550.1667942154795,6209.247943560829,-4119.295889100498,,,,-1.447873145821177e-07,-4.4073960481227914e-08,-6.609458313988625e-08,2.1249694384631773e-13,
2024-10-09 13:03:42,-1992815.5481992383,3689977.0579382307,5455266.200000256,-1407.5268354289567,5952.475695981358,-4529.306023954161,,,,-2.637899330082405e-07,-2.796916653835524e-08,1.2396221293897725e-07,-3.405894122286776e-13,
2024-10-09 13:04:42,-2072831.0986490233,4038764.7920695003,5171699.440541856,-1258.6766025133138,5669.516702509974,-4919.463746612074,,,,-2.407561785489065e-07,2.3353615041799003e-08,1.066933998927766e-07,-8.65367001980947e-14,
2024-10-09 13:05:42,-2143745.5512875617,4369819.883775892,4865362.248766175,-1104.2677939502782,5361.602609115429,-5288.0396253022045,,,,-2.99975080331194e-07,4.324912872277764e-08,2.043506341919965e-07,-4.944235783880118e-13,
2024-10-09 13:06:42,-2205245.6075996454,4681684.8482383285,4537599.116798249,-944.97839871635,5030.079204144097,-5633.397290248751,,,,-3.2422204920834474e-07,3.420112193452951e-08,4.496343830595606e-08,2.1240306254137956e-13,
2024-10-09 13:07:42,-2257059.3536758893,4972986.191692423,4189849.709350324,-781.5093901338695,4676.399326919658,-5954.0018067780975,,,,-3.9808212282110844e-07,2.3517035163678202e-07,6.709497313295287e-08,9.57443651569509e-13,
2024-10-09 13:08:42,-2298957.5456231176,5242440.645598248,3823642.5685510538,-614.5814532458304,4302.11648694099,-6248.426756867384,,,,-4.154084689567128e-07,3.2495122592735015e-07,1.8489265940502264e-07,4.679797368487443e-13,
2024-10-09 13:09:42,-2330754.676111975,5488860.997085398,3440588.399262528,-444.9313321078385,3908.877911995654,-6515.360728682901,,,,-4.708284757626302e-07,1.9612538171287497e-07,7.028445736523281e-08,4.884391576061078e-13,
2024-10-09 13:10:42,-2352309.851827386,5711161.51311557,3042372.997956949,-273.3089059224034,3498.417889497988,-6753.613086375066,,,,-4.42946091361307e-07,3.5211613980123957e-07,-5.136931013893786e-08,1.6095756116535323e-12,
2024-10-09 13:11:42,-2363527.4993250896,5908362.949813963,2630749.834195429,-100.47438352067343,3072.550648044298,-6962.119579970492,,,,-4.896182392855053e-07,3.515944007048688e-07,5.604344277543305e-08,6.967500243379253e-13,
2024-10-09 13:12:42,-2364357.85786008,6079597.156022417,2207532.287609002,72.80612462554393,2633.1637902964035,-7139.948761587673,,,,-4.873792200932314e-07,4.267441378047465e-07,1.1852298786863003e-07,2.2368618037166727e-13,
2024-10-09 13:13:42,-2354797.193354461,6224111.186301808,1774585.4562265812,245.76516163473605,2182.207722266225,-7286.308975205681,,,,-4.6457449798253947e-07,3.5338935511219915e-07,-4.401586517488454e-08,9.233762967804726e-13,
2024-10-09 13:14:42,-2334887.812538252,6341270.718768379,1333817.6743482007,417.63572627362237,1721.6849463048877,-7400.550870595404,,,,-5.036465724472805e-07,4.3680239336651994e-07,-1.172094332702045e-07,1.3322269346488424e-12,
2024-10-09 13:15:42,-2304717.9347461183,6430562.957825627,887171.8950952801,587.6551471656369,1253.6422208367012,-7482.170563143953,,,,-4.958884258776664e-07,4.233457575608668e-07,-1.464629855174593e-07,1.262399384661159e-12,
2024-10-09 13:16:42,-2264421.3125838023,6491598.985550359,436616.85637757834,755.0690530952288,780.1602992399023,-7530.812766616305,,,,-4.733557190661486e-07,4.172171630401067e-07,-2.340988984883552e-07,1.6387371096108682e-12,
2024-10-09 13:17:42,-2214176.6187080583,6524115.488245172,-15861.881678601756,919.1349547124472,303.343563703277,-7546.27221907318,,,,-4.6626171013031126e-07,3.872426761475367e-07,-2.807754150707664e-07,1.712273141291326e-12,
2024-10-09 13:18:42,-2154206.633162923,6527975.8773892345,-468270.9647586687,1079.1257379546585,-174.68984810930968,-7528.494473393133,,,,-4.5626662759090664e-07,3.58951032453092e-07,-3.6793311275484797e-07,2.0998639726114273e-12,
2024-10-09 13:19:42,-2084777.2093934836,6503170.810245689,-918618.303897123,1234.3333284989615,-651.8182671988964,-7477.576029189906,,,,-4.4083898576019465e-07,3.30340814258534e-07,-4.13706882307352e-07,2.2140847838024075e-12,
2024-10-09 13:20:42,-2006196.0267924522,6449818.098555885,-1364922.107504532,1384.0721839308235,-1125.926567027816,-7393.763469717823,,,,-4.1546784768087264e-07,2.7749603326299166e-07,-4.57187457669761e-07,2.3663640706854226e-12,
2024-10-09 13:21:42,-1918811.1391979451,6368162.013289523,-1805219.843861594,1527.682456775845,-1594.9161898385985,-7277.451958985323,,,,-4.1746486623139845e-07,2.1369315295061142e-07,-4.859833739878638e-07,2.4299436587621063e-12,
2024-10-09 13:22:42,-1823009.3459818168,6258571.993108444,-2237577.101016434,1664.5330849289699,-2056.7151892465527,-7129.183177291056,,,,-3.590798898223113e-07,1.5476092318778e-07,-5.119619839177858e-07,2.598815067061797e-12,
2024-10-09 13:23:42,-1719214.3681414262,6121540.737167768,-2660096.2901264336,1794.0248979818452,-2509.28843515968,-6949.642305388581,,,,-3.40198404558123e-07,1.152389206282578e-07,-5.595252816625873e-07,2.843293804962137e-12,
2024-10-09 13:24:42,-1607884.8481140332,5957681.698684949,-3070925.133200063,1915.5934314675837,-2950.647616307553,-6739.653658952081,,,,-3.64555086340701e-07,2.3900269319199197e-08,-5.223592385306119e-07,2.619363521985402e-12,
2024-10-09 13:25:42,-1489512.1965411585,5767725.9965034295,-3468264.853183222,2028.7113259738614,-3378.860282420982,-6500.175483078151,,,,-2.999187149743676e-07,-2.0942796830070165e-08,-5.925725377053936e-07,3.157180797000879e-12,
2024-10-09 13:26:42,-1364618.2921009874,5552518.8017579,-3850378.0473775202,2132.8904703698418,-3792.0584873830785,-6232.294166985545,,,,-2.8963206255561147e-07,-6.345223813042367e-08,-5.536104996650693e-07,2.9295644229383376e-12,
2024-10-09 13:27:42,-1233753.0898443046,5313015.239562165,-4215596.180058554,2227.683522444809,-4188.446287087897,-5937.218041060626,,,,-2.710927835547494e-07,-1.243824332419763e-07,-5.08697611145692e-07,2.8021417383051022e-12,
2024-10-09 13:28:42,-1097492.1162768346,5050275.843604278,-4562326.727347979,2312.6856907604056,-4566.307162387484,-5616.271332033659,,,,-2.403799346240021e-07,-1.788673209546232e-07,-5.029824974300823e-07,2.9458441315696464e-12,
2024-10-09 13:29:42,-956433.8709329846,4765461.583031364,-4889059.921292501,2387.5361871428154,-4924.010911258768,-5270.887102380332,,,,-2.2726704074216286e-07,-2.441350348547644e-07,-4.1437198650129403e-07,2.7167095919177836e-12,
2024-10-09 13:30:42,-811197.152647601,4459828.501876664,-5194375.069107484,2451.919320410667,-5260.019579219111,-4902.600487498396,,,,-1.8599665263518972e-07,-2.8503293592052614e-07,-3.922761839803002e-07,2.835903081921952e-12,
2024-10-09 13:31:42,-662418.3183774226,4134721.9968604688,-5476946.476567311,2505.565716176919,-5572.893573347937,-4513.041630178937,,,,-1.656794965665398e-07,-3.021470673658655e-07,-3.7417853526733325e-07,2.8290308725481234e-12,
2024-10-09 13:32:42,-510748.4762848094,3791570.7542413534,-5735548.915539038,2548.2532297811454,-5861.297126253406,-4103.928006962917,,,,-1.5403882125397672e-07,-2.3180230712682715e-07,-2.8672269269947037e-07,2.050960445995596e-12,
2024-10-09 13:33:42,-356850.6295947796,3431880.357693448,-5969062.636620032,2579.8074012853804,-6124.003688489254,-3677.056683698916,,,,-1.3741191795535457e-07,-2.733545478861288e-07,-2.0944357359553578e-07,2.001283143975529e-12,
2024-10-09 13:34:42,-201396.82139524748,3057226.5766084334,-6176477.879759226,2600.101517497396,-6359.900902301816,-3234.2954998688624,,,,-1.1632414972928551e-07,-2.735130579800682e-07,-2.0716028181766433e-07,2.0189375070059492e-12,
2024-10-09 13:35:42,-45065.252894297475,2669248.419957062,-6356898.854931222,2609.056962036846,-6567.993561506044,-2777.5740403831965,,,,-7.336703135990552e-08,-3.2977643904530396e-07,-1.2897305978754048e-07,2.23627467743873e-12,
2024-10-09 13:36:42,111462.59820234333,2269641.0395724797,-6509547.20280245,2606.643217702317,-6747.405804693602,-2308.876048873742,,,,-4.844876780318863e-08,-2.441790596385829e-07,-1.8174722438146773e-07,1.8612352633832443e-12,
2024-10-09 13:37:42,267504.8690043995,1860148.47422346,-6633765.023412832,2592.8779007588987,-6897.3846049407,-1830.2314150116824,,,,-3.164023804069771e-08,-3.7769877936355556e-07,-1.3943287058282294e-07,2.6651437544729847e-12,
2024-10-09 13:38:42,422382.19658341503,1442556.2192372326,-6729017.3608339075,2567.826725512226,-7017.301038967051,-1343.7072125409081,,,,-5.503876432388921e-08,-3.2989819542805776e-07,-8.943690943397087e-08,2.2009656862417036e-12,
2024-10-09 13:39:42,575420.5914689611,1018683.7377370112,-6794894.230795009,2531.6027770016485,-7106.652334690107,-851.4008050237231,,,,-6.499012483729416e-08,-3.7525027529738963e-07,-3.3478366745498533e-08,2.428705212563579e-12,
2024-10-09 13:40:42,725954.2097836864,590376.8205427169,-6831112.183058087,2484.3643012562584,-7165.0637907553955,-355.43117752226135,,,,-1.0992653232122507e-08,-4.4444008084898456e-07,1.5577059642168933e-08,3.0247992050381117e-12,
2024-10-09 13:41:42,873328.0534954183,159499.8941604278,-6837515.374615973,2426.314690298928,-7192.289089423467,142.0680949769013,,,,-6.351979875418579e-08,-1.1897047066944388e-07,-8.21520096394579e-09,6.722145205083296e-13,
2024-10-09 13:42:42,1016900.7084772477,-272071.75717377604,-6814076.215976467,2357.7032959789794,-7188.21301225404,638.9574043432372,,,,4.123246299947425e-08,-3.3660443099492454e-07,3.143948390516016e-08,2.434704122983536e-12,
2024-10-09 13:43:42,1156047.0422997952,-702459.8287712651,-6760895.389345193,2278.8230028709595,-7152.849253481859,1133.1017585903644,,,,-2.984420355289785e-08,-2.0785479293294884e-07,2.0321466642769792e-07,1.582326536444578e-12,
2024-10-09 13:44:42,1290160.7827495018,-1129790.6596984176,-6678201.453526635,2190.0098400642273,-7086.339565777501,1622.374260193359,,,,6.076229497331553e-08,-2.470230431317333e-07,1.0642726522291923e-07,1.9726972187574156e-12,
