MJD,UTC,EDR,rho_eff,jb08_rho,dtm2000_rho,nrlmsise00_rho
60069.75013888889,2023-05-05 18:00:12,-0.0,0.0,6.242259155673722e-13,1.0200140987905504e-12,1.1052966949494968e-12
60069.75048611111,2023-05-05 18:00:42,-10.31819861382246,2.730262619065807e-15,6.249123213443596e-13,1.025207529478047e-12,1.0875395711525374e-12
60069.75083333333,2023-05-05 18:01:12,-19.000728715211153,5.02771668657898e-15,6.253722987356552e-13,1.0286035868853217e-12,1.0701618039412535e-12
60069.751180555555,2023-05-05 18:01:42,-27.95276788622141,7.396484610883127e-15,6.255804226541792e-13,1.0299705966777345e-12,1.0535363416653719e-12
60069.75152777778,2023-05-05 18:02:12,-39.189179331064224,1.0369712331000884e-14,6.255121766253354e-13,1.029135523078207e-12,1.037982936028408e-12
60069.751875,2023-05-05 18:02:42,-53.270435228943825,1.4095704439349934e-14,6.251441083049359e-13,1.0259927835541491e-12,1.0237619968499543e-12
60069.752222222225,2023-05-05 18:03:12,-69.98358272761106,1.8518112222954314e-14,6.244540274010635e-13,1.0205097296156558e-12,1.0110713313844886e-12
60069.75256944444,2023-05-05 18:03:42,-89.02475384250283,2.3556530232138713e-14,6.234212790784659e-13,1.0127283219686849e-12,1.0000452893425647e-12
60069.752916666665,2023-05-05 18:04:12,-109.98043859004974,2.910154102951851e-14,6.22026910640356e-13,1.0027625337928e-12,9.907554897760532e-13
60069.75326388889,2023-05-05 18:04:42,-132.7595376931131,3.512903915247327e-14,6.202539264298379e-13,9.907919398738718e-13,9.832129240101676e-13
60069.75361111111,2023-05-05 18:05:12,-157.74075651168823,4.1739232508093495e-14,6.180874095843622e-13,9.770516956086122e-13,9.773707393712646e-13
60069.753958333335,2023-05-05 18:05:42,-185.276183411479,4.902528597326004e-14,6.155147174740874e-13,9.618199965291294e-13,9.731277362956547e-13
60069.75430555556,2023-05-05 18:06:12,-215.1526271291077,5.69307877498581e-14,6.125255153319746e-13,9.454036828969664e-13,9.703321447174511e-13
60069.75465277778,2023-05-05 18:06:42,-246.387990642339,6.519586856336984e-14,6.091118402950748e-13,9.281233441742281e-13,9.68785974130735e-13
