UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,
2025-05-30 13:58:12,297992.42506228137,430854.6457156182,6807761.339994831,2533.6956068080285,7185.282055946278,-572.863933173335,,,,5.252830541757625e-06,1.4508669590074241e-05,5.346859577315399e-07,9.848798539333873e-11,
2025-05-30 13:58:42,373822.0882700548,646131.4806357479,6786753.308933061,2521.142795409639,7165.166103255795,-827.5460056702956,,,,-1.4830550759681316e-06,-3.508767579707417e-06,2.1309917244138887e-06,-2.572396034845877e-11,
2025-05-30 13:59:12,449232.71573346935,860684.274786526,6758117.529227863,2505.7623590200587,7137.016747266458,-1081.333117756211,,,,3.5354511973562097e-07,1.8374995831571539e-06,1.54514187400423e-06,1.0360825625875231e-11,
2025-05-30 13:59:42,524139.7176704876,1074272.4384320986,6721885.1113517685,2487.5707911580903,7100.862981311101,-1333.9412666268265,,,,-1.9566069953125265e-07,-2.8824983955288985e-08,1.4832152075427985e-06,-2.2352940463005637e-12,
2025-05-30 14:00:12,598459.0455402536,1286656.3870182973,6678095.673430971,2466.587595041303,7056.742780574308,-1585.0874756298306,,,,1.1825015744371115e-07,7.151020475770764e-07,1.9601727920814938e-06,1.8800530279509567e-12,
2025-05-30 14:00:42,672107.2800801501,1497597.8078215134,6626797.297018365,2442.8351981490696,7004.703047699138,-1834.4903101533826,,,,-8.086718383815139e-08,7.590894273157289e-07,1.3738061088730547e-06,2.185992079121471e-12,
2025-05-30 14:01:12,745001.719093458,1706859.9262955245,6568046.485867296,2416.339089951233,6944.799308142147,-2081.870050456599,,,,-3.890651240068266e-07,7.058194912978877e-07,1.7335704676213481e-06,3.002392090652429e-13,
2025-05-30 14:01:42,817060.4740319129,1914207.765398596,6501908.104683637,2387.1279655012695,6877.095746484512,-2326.9488379261866,,,,-1.9205787560316878e-07,9.528886253384883e-07,1.6734916474803185e-06,1.8493805342268163e-12,
2025-05-30 14:02:12,888202.5642267689,2119408.3993933,6428455.322884034,2355.233620073726,6801.665278363146,-2569.4510305196036,,,,-2.724010037535862e-07,9.802444096429497e-07,1.6847641095552035e-06,1.4254779970909816e-12,
2025-05-30 14:02:42,958348.0061737844,2322231.2259833347,6347769.541365528,2320.690853429129,6718.589546180342,-2809.103456829005,,,,-2.6217084103663524e-07,1.1814314611058307e-06,1.5505833008688796e-06,2.494552019674934e-12,
2025-05-30 14:03:12,1027417.9082474284,2522448.220941047,6259940.3172625145,2283.5374695296987,6627.958943286545,-3045.635778982544,,,,-2.7176063266409756e-07,1.1180753700656965e-06,1.5040662528775783e-06,1.852251969361851e-12,
2025-05-30 14:03:42,1095334.5557002057,2719834.202274678,6165065.266727174,2243.8142604179793,6529.872530910491,-3278.780962903055,,,,-3.4415358429740195e-07,1.3274230461490788e-06,1.4277539239770931e-06,2.6934560926292826e-12,
2025-05-30 14:04:12,1162021.5026799254,2914167.0872556893,6063249.965692899,2201.564986633152,6424.437805318546,-3508.275673452863,,,,-3.3149107658836385e-07,1.3136900252064265e-06,1.318866521771156e-06,2.5818401337429375e-12,
2025-05-30 14:04:42,1227403.6591666876,3105228.142497448,5954607.827650448,2156.8362906321404,6311.770495924322,-3733.8604591134244,,,,-4.131974544741013e-07,1.387989648105048e-06,1.2587831026422691e-06,2.6527550132913247e-12,
2025-05-30 14:05:12,1291407.3789496678,3292802.228006916,5839259.992421642,2109.677602610739,6191.994535750533,-3955.2798746518324,,,,-4.511756774849829e-07,1.3228159367884018e-06,1.214256232451305e-06,2.0373720869571076e-12,
2025-05-30 14:05:42,1353960.5365254143,3476678.047418721,5717335.200960368,2060.1410893762672,6065.242091373668,-4172.282785796458,,,,-4.28086806225636e-07,1.350429355895244e-06,1.2241001225987702e-06,1.8393061962946747e-12,
2025-05-30 14:06:12,1414992.6137393778,3656648.388521812,5588969.6561296545,2008.2815841073552,5931.653436927326,-4384.622808060308,,,,-5.227992803114034e-07,1.3609939530923043e-06,1.1808391677803343e-06,1.5401211578132671e-12,
2025-05-30 14:06:42,1474434.7754029096,3832510.3699534647,5454306.876505837,1954.1565396361937,5791.376714666598,-4592.05864881837,,,,-5.718323308201434e-07,1.4693283967304183e-06,1.229073549602333e-06,1.4570279454290407e-12,
2025-05-30 14:07:12,1532219.9507380459,4004065.6663994566,5313497.541169007,1897.826020156328,5644.567722693793,-4794.354313780434,,,,-5.656410819732116e-07,1.5290205901408171e-06,1.1456260580189337e-06,1.7209745995180884e-12,
2025-05-30 14:07:42,1588282.9077568632,4171120.7415692923,5166699.326510604,1839.3527203497024,5491.389791759262,-4991.279289534685,,,,-6.009808379836556e-07,1.5059191698085783e-06,1.1520720013535879e-06,1.1753206249911713e-12,
2025-05-30 14:08:12,1642560.3379330076,4333487.070630315,5014076.739015992,1778.8019528953907,5332.013690791287,-5182.608840714504,,,,-6.087361144047065e-07,1.618200863084951e-06,1.1673672810630364e-06,1.2421207255494228e-12,
2025-05-30 14:08:42,1694990.9277186817,4490981.359216386,4855800.938079565,1716.2415487541052,5166.617458760658,-5368.124349747237,,,,-6.246274004695351e-07,1.687132016314763e-06,1.1121388352464123e-06,1.3909514407798007e-12,
2025-05-30 14:09:12,1745515.4361021677,4643425.765363264,4692049.5438048,1651.7417332110397,4995.386234295262,-5547.613578542715,,,,-5.996647276518274e-07,1.6863090479546372e-06,1.1214535877712706e-06,1.0028234727157675e-12,
2025-05-30 14:09:42,1794076.7619750444,4790648.1021770965,4523006.443830172,1585.3750305464553,4818.512100204497,-5720.870947453125,,,,-6.426962153582849e-07,1.8569312523197823e-06,1.1228045426747713e-06,1.246514827315776e-12,
2025-05-30 14:10:12,1840620.0158790918,4932482.048179019,4348861.594143969,1517.216190227769,4636.193857279777,-5887.697784083572,,,,-6.749286591833936e-07,1.9125979404677196e-06,9.079411542600724e-07,2.0756418349629523e-12,
2025-05-30 14:10:42,1885092.5806632955,5068767.344198896,4169810.8009268637,1447.3421499351434,4448.636854226926,-6047.902519795383,,,,-7.008694860033415e-07,1.8332102786899895e-06,1.0041407616512288e-06,8.797764144899326e-13,
2025-05-30 14:11:12,1927444.1826015105,5199349.987863865,3986055.507368806,1375.8319399030765,4256.052889851825,-6201.301052867446,,,,-5.942208685105754e-07,2.0334980286307314e-06,1.0267936110253117e-06,1.213207458682117e-12,
2025-05-30 14:11:42,1967626.944521416,5324082.42545362,3797802.563530369,1302.7664786547803,4058.659909300959,-6347.717197782181,,,,-6.359503332831196e-07,2.0035132068940698e-06,8.644530256063376e-07,1.5025042653879645e-12,
2025-05-30 14:12:12,2005595.4450686155,5442823.727232736,3605263.9821894676,1228.2284398690917,3856.6815670673477,-6486.9829033821115,,,,-6.453606218315144e-07,2.1709699478122957e-06,9.461575842806269e-07,1.188257005248838e-12,
2025-05-30 14:12:42,2041306.7683364125,5555439.755428177,3408656.694712141,1152.3022198736705,3650.3468974318284,-6618.938345178415,,,,-6.274268451456066e-07,2.2585671173303012e-06,7.106148043334315e-07,2.3369749868932512e-12,
2025-05-30 14:13:12,2074720.5565233966,5661803.318055231,3208202.301916349,1075.0739015076729,3439.8900911132596,-6743.43205345433,,,,-6.963458960562718e-07,2.141669867228302e-06,7.194365254648005e-07,1.4591552872789858e-12,
2025-05-30 14:13:42,2105799.057557253,5761794.329423494,3004126.8199479096,996.6311920515477,3225.5502869758834,-6860.321171105311,,,,-6.501195306540808e-07,2.2753419530729957e-06,7.927117953165919e-07,1.0277337575013997e-12,
2025-05-30 14:14:12,2134507.1750071477,5855299.941013202,2796660.42015186,917.0632795441254,3007.571174362024,-6969.4717329710975,,,,-6.311973788086789e-07,2.4919521788291377e-06,6.662239755428345e-07,1.8772969387198446e-12,
2025-05-30 14:14:42,2160812.507120844,5942214.683864492,2586037.15597018,836.4606449858005,2786.200592068505,-7070.758644957547,,,,-6.487520334275132e-07,2.4156886144766077e-06,3.152010892293333e-07,3.2869955711075073e-12,
2025-05-30 14:15:12,2184685.3836852647,6022440.580241578,2372494.703846067,754.9150106300283,2561.6904806396014,-7164.065600407006,,,,-8.139725760081262e-07,2.2181723311476276e-06,3.8311935535162434e-07,1.9220028470302824e-12,
2025-05-30 14:15:42,2206098.907626494,6095887.2760055065,2156274.0941156987,672.519402264647,2334.296873569319,-7249.285403652894,,,,-8.160719562333441e-07,2.4062090968612893e-06,3.611206387255095e-07,2.025967995828701e-12,
2025-05-30 14:16:12,2225028.989975567,6162472.154603413,1937619.4299170217,589.3680600454486,2104.2795224962597,-7326.320473387958,,,,-8.554474524302691e-07,2.3531229160766998e-06,3.007831894663582e-07,1.8540286684230174e-12,
2025-05-30 14:16:42,2241454.385464417,6222120.438184312,1716777.5930973864,505.556171625373,1871.901345358453,-7395.083134386495,,,,-7.683082268172825e-07,2.519282578994364e-06,3.5982530821598857e-07,1.3695316216332508e-12,
2025-05-30 14:17:12,2255356.7133772224,6274765.281668402,1493997.9461578373,421.1796116410803,1637.427865857207,-7455.495676641269,,,,-7.898697904629159e-07,2.4963963856095006e-06,7.089493214706977e-08,2.67283060774444e-12,
2025-05-30 14:17:42,2266720.478829233,6320347.8331742175,1269532.036197533,336.3347678062003,1401.1267762957893,-7507.490181518093,,,,-9.14283888153733e-07,2.450704984724439e-06,9.98946090291497e-08,1.9634158556715814e-12,
2025-05-30 14:18:12,2275533.0845413934,6358817.307670115,1043633.3018811956,251.118463184812,1163.2677747671478,-7551.008360557554,,,,-8.496269385815935e-07,2.594374087117046e-06,-6.501672134007208e-08,2.729571571384614e-12,
