UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,
2023-04-22 18:00:27,2617897.949677098,-52068.3426146054,6348810.163844051,-7023.469132650436,494.8018851767089,2893.5367596293377,,,,-9.520376108795858e-06,7.022028234299205e-07,3.767202054305585e-06,6.627796546641048e-11,
2023-04-22 18:00:42,2512189.9076200915,-44639.4922691267,6391333.657960244,-7070.60240619165,495.68862994545077,2776.159507753867,,,,-1.3934029028828121e-05,9.778860468531714e-07,4.562320368606265e-06,9.475370616012936e-11,
2023-04-22 18:00:57,2405789.522381553,-37198.36524914937,6432090.855843872,-7115.7853776923885,496.4388682338975,2658.0197073871536,,,,2.3468457963637945e-06,-6.161258891274057e-08,-1.0108271615294484e-06,-1.6477592473820703e-11,
2023-04-22 18:01:12,2298726.1564609846,-29747.010296420893,6471070.599199813,-7159.005915799646,497.05242267182007,2539.1497979892865,,,,3.510609596801828e-06,-1.2763759851125434e-07,-1.1247646156675728e-06,-2.3804987030971087e-11,
2023-04-22 18:01:27,2191029.2457986074,-22287.47725278356,6508261.936569598,-7200.252113098521,497.52913035386706,2419.582291226213,,,,-1.0069245846011654e-06,1.424786109614773e-07,2.7042704253688044e-07,6.768077769865743e-12,
2023-04-22 18:01:42,2082728.5200975235,-14821.820360458922,6543654.743841333,-7239.512957926545,497.86888623420134,2299.3499875873135,,,,-1.2940056719479287e-06,1.4765236960173622e-07,1.626153594003199e-07,8.329238893314836e-12,
2023-04-22 18:01:57,1973853.8297400156,-7352.095068438837,6577239.257005913,-7276.7778269873415,498.07161060912455,2178.4858077948847,,,,3.447438068349129e-08,5.7702575315121685e-08,-1.7988280021086211e-07,-5.218970085454983e-13,
2023-04-22 18:02:12,1864435.2140622118,119.64274758286774,6609006.3251187755,-7312.0367546964435,498.1372672839839,2057.022864679431,,,,1.5451140855660128e-07,3.880175339623297e-08,-8.367195114544757e-08,-1.0888028071479716e-12,
2023-04-22 18:02:27,1754502.807032795,7591.33713493506,6638947.1204079315,-7345.280120919564,498.06584235395394,1934.9943670154555,,,,-3.0210097534677516e-07,7.414778394575217e-08,1.0905889524792656e-09,1.9163014814257957e-12,
2023-04-22 18:02:42,1644086.9321968288,15060.932259739377,6667053.494727114,-7376.499029611228,497.857367564476,1812.4337152452254,,,,-3.8546597647126646e-07,7.227748649585308e-08,-5.855114260100436e-08,2.3533550261338053e-12,
2023-04-22 18:02:57,1533218.0010631683,22526.37269316433,6693317.636699864,-7405.684943723969,497.5118969993229,1689.374402072714,,,,-1.7407798913460226e-07,4.2346465913695175e-08,-1.2938417093266708e-07,9.259299652566616e-13,
2023-04-22 18:03:12,1421926.5874194566,29985.604507773183,6717732.40240322,-7432.830038113539,497.02952844533064,1565.8500975809502,,,,-1.538121654487412e-07,3.088442773746536e-08,-1.3908652007899036e-07,7.97914662437461e-13,
2023-04-22 18:03:27,1310243.341456423,37436.57478378289,6740290.984244335,-7457.9268485850225,496.41038184594186,1441.894554962403,,,,-2.0384260701611367e-07,2.5472371205370603e-08,-6.38304928912703e-08,1.2227014103429668e-12,
2023-04-22 18:03:42,1198199.0566983619,44877.23313063034,6760987.252497307,-7480.968642837608,495.6546220679604,1317.541682468263,,,,-2.0099150654928621e-07,4.1849170455410256e-08,-1.8221487252390034e-07,1.0893477638949661e-12,
2023-04-22 18:03:57,1085824.5914937903,52305.53112469163,6779815.417197389,-7501.949054241255,494.76243744362074,1192.8254577963437,,,,-1.871011239273912e-07,9.227853023374699e-09,-1.7689679232546496e-07,1.015485797352698e-12,
2023-04-22 18:04:12,973150.92015456,59719.425680879736,6796770.369557512,-7520.862446954874,493.7340652435174,1067.7799813722434,,,,-1.341377136032662e-07,2.5055624380820873e-09,1.5722204338430856e-07,1.0005350182205029e-12,
2023-04-22 18:04:27,860209.0741940776,67116.87538496891,6811847.3417890305,-7537.703550039162,492.5697679805691,942.4394157038619,,,,-1.5611241233060014e-07,7.871460955266585e-09,6.87875338911681e-08,1.0574812503854502e-12,
