UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,
2024-09-11 13:17:42,-626614.6443535337,2513282.116699264,6325824.36343396,-2105.721644862639,6754.76459564606,-2882.3748471079944,,,,1.0247490891401867e-06,-3.0348987514194903e-06,1.4172098348197437e-06,-2.2453111310965268e-11,
2024-09-11 13:18:42,-751463.4201217621,2912648.0879490133,6138831.97623199,-2054.352362813057,6552.470594206477,-3348.3816596077504,,,,-6.481761971599553e-08,2.4382579066895005e-08,2.066174316084357e-07,-3.366940899367057e-13,
2024-09-11 13:19:42,-872953.1123915433,3298992.3201213237,5924318.0502602635,-1993.7936276580149,6320.867622222243,-3799.4163149092046,,,,-2.0374406672907242e-07,1.616545821647719e-07,1.701853680202703e-08,1.1430332068649489e-12,
2024-09-11 13:20:42,-990540.2129387979,3670586.568125605,5683242.00725806,-1924.314101140669,6060.987144102551,-4233.454046064485,,,,-2.6900116933958884e-07,2.827419747220006e-07,5.1229619657533476e-08,1.6877549665417476e-12,
2024-09-11 13:21:42,-1103698.547032725,4025768.311223876,5416682.573434833,-1846.2230051875056,5773.987455207014,-4648.544021873619,,,,-2.491255197689668e-07,3.017956933248911e-07,2.014116207149641e-07,1.0576366661420512e-12,
2024-09-11 13:22:42,-1211921.6997571,4362948.217863195,5125833.132992538,-1759.8694556062276,5461.1495153005335,-5042.816531050659,,,,-2.756748032073375e-07,1.4799586622871175e-07,1.8345925312246436e-07,3.050848394105217e-13,
2024-09-11 13:23:42,-1314725.3588340508,4680617.433280148,4811996.604452812,-1665.6409452571536,5123.874432134146,-5414.4917697955025,,,,-2.6705063893572856e-07,3.2757358159329897e-07,2.942522394633329e-07,4.375864307558555e-13,
2024-09-11 13:24:42,-1411649.5697910143,4977354.65259442,4476579.702780052,-1563.961390874851,4763.678045511721,-5761.891571611448,,,,-2.2947453626187553e-07,2.710493669511038e-07,2.4077974103420274e-07,2.1420831014467085e-13,
2024-09-11 13:25:42,-1502260.8364280567,5251832.74363297,4121086.56214836,-1455.288440834398,4382.182163110087,-6083.447950359563,,,,-3.23045307837333e-07,4.5867592568527016e-07,-3.8264559520939656e-08,2.268778757020335e-12,
2024-09-11 13:26:42,-1586154.092917162,5502824.862123738,3747111.9314183383,-1340.111999640448,3981.106867691135,-6377.709296129222,,,,-4.029819751227848e-07,6.04643577872821e-07,1.6803447877578037e-07,1.561743774672299e-12,
