UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00,DTM-2000
2023-05-06 00:00:27,1092874.580087589,18079.29086291283,6773746.093322778,-7488.115531265032,730.1222928207692,1193.60929904453,,,,-9.685411618498564e-06,8.607243797698061e-07,1.9399557338317663e-06,6.393492388973449e-11,6.133649399167078e-13,1.4096054182018342e-12,1.2281633130748362e-12,1.2281633130748362e-12
2023-05-06 00:00:42,980407.084064772,29028.12442589167,6790711.322408679,-7507.20170218913,729.688733664371,1068.396568933551,,,,-1.426597664644369e-05,1.2789226357043382e-06,2.0918365599698063e-06,9.340395861024114e-11,6.159517364568574e-13,1.4172956065496372e-12,1.2280845338494708e-12,1.2280845338494683e-12
2023-05-06 00:00:57,867668.8460397371,39968.9429392251,6805796.182461805,-7524.2158670933,729.0535605858465,942.8819381172028,,,,2.3919352893919665e-06,-3.737089160418816e-07,-7.860479573906787e-07,-1.6108012134032064e-11,6.186993875016681e-13,1.4244517449834205e-12,1.2284123955084606e-12,1.2284123955084606e-12
2023-05-06 00:01:12,754690.9906601144,50898.72370852681,6818996.442831251,-7539.153196235194,728.216934110736,817.0998272923799,,,,3.5853761574111687e-06,-4.997696487971104e-07,-8.333028844731416e-07,-2.3784418283542536e-11,6.216461233240544e-13,1.4310407964269925e-12,1.2291525219838365e-12,1.2291525219838365e-12
2023-05-06 00:01:27,641504.6696886056,61814.44520038074,6830308.091538902,-7552.009094951232,727.1790369936907,691.084690294357,,,,-8.05340114928832e-07,-5.009508133313467e-08,-1.9021161534737985e-08,5.108248991410306e-12,6.248582002217394e-13,1.4370397395933865e-12,1.230312772481338e-12,1.230312772481338e-12
2023-05-06 00:01:42,528141.1433482019,72713.09052525164,6839727.991297774,-7562.77990889284,725.9401409058107,564.8711135119287,,,,-1.1220228228747686e-06,1.2814744959621647e-09,-7.669865631498851e-08,7.149138761180217e-12,6.284471987699908e-13,1.4424236121990257e-12,1.231890995704445e-12,1.231890995704445e-12
2023-05-06 00:01:57,414631.7116568788,83591.64585433014,6847253.384532127,-7571.46239417095,724.5005560972312,438.49373152514374,,,,8.705333520708791e-08,-1.2123195827773436e-07,-2.2428675983121593e-07,-7.179346105243085e-13,6.326290327600955e-13,1.4471748090013537e-12,1.2338810114119077e-12,1.2338810114119075e-12
2023-05-06 00:02:12,301007.7253522618,94447.1049578294,6852882.15782004,-7578.054008419434,722.8606582177816,311.9872391255475,,,,2.3295487450170074e-07,-1.2993443261610782e-07,-1.97137900670441e-07,-1.6282900428485877e-12,6.37847040441054e-13,1.4512782756206802e-12,1.236264902575265e-12,1.2362649025752647e-12
2023-05-06 00:02:27,187300.55745948883,105276.46556518297,6856612.535756701,-7582.552575126135,721.0208577296008,185.3863572020552,,,,-1.351239794222803e-07,-1.0388152918427985e-07,-1.1583981418539226e-07,7.848838580821236e-13,6.449274159680698e-13,1.4547272187686304e-12,1.239035736068274e-12,1.239035736068274e-12
2023-05-06 00:02:42,73541.61943409944,116076.73364368356,6858443.450851885,-7584.95667967177,718.9816389443731,58.72585082156104,,,,-2.363902030788623e-07,-1.082587879341901e-07,-1.1963784452007076e-07,1.4452152303529473e-12,6.518895747279639e-13,1.4575162064161761e-12,1.2425382698744402e-12,1.242538269874441e-12
2023-05-06 00:02:57,-40237.664749723575,126844.92013279026,6858374.185771328,-7585.265284339172,716.7435221269106,-67.95949686123288,,,,-9.375078292156448e-08,-8.924487357453438e-08,-2.157160352567189e-07,5.58460473145161e-13,6.387372120725234e-13,1.459647749984184e-12,1.2476457219680725e-12,1.2476457219680723e-12
2023-05-06 00:03:12,-154005.8594736257,137578.04762276815,6856404.715890033,-7583.478097126752,714.3070975049889,-194.63487451837267,,,,-1.2317556391527873e-08,-6.584611464410807e-08,-3.1283235202295145e-07,8.816335350167283e-14,6.223258573855169e-13,1.4611258157812882e-12,1.2521487659459813e-12,1.2521487659459813e-12
2023-05-06 00:03:27,-267731.528182204,148273.14479360165,6852535.364030792,-7579.595202298957,711.6729904045886,-321.26546284194194,,,,3.9342735125291746e-08,-8.826230504799248e-08,-1.8485828690018025e-07,-2.568847892198611e-13,6.144480037111393e-13,1.4619621017961805e-12,1.2567240734868737e-12,1.2567240734868735e-12
2023-05-06 00:03:42,-381383.2422160326,158927.25303334647,6846767.150098325,-7573.617443468769,708.841896581548,-447.81643877742584,,,,-8.299549936197081e-09,-1.24176356808281e-07,-3.5986666091503146e-08,-7.966602650982694e-15,6.101542130436202e-13,1.462169346142593e-12,1.26176612867447e-12,1.26176612867447e-12
2023-05-06 00:03:57,-494929.5831304521,169537.4208156493,6839101.442415005,-7565.54604400722,705.8145470530749,-574.2529832974741,,,,-7.143574209944603e-08,-1.2350036723840496e-07,-4.393115204948117e-09,3.8577438392229026e-13,6.073665735689146e-13,1.4617676155997077e-12,1.2672752769305534e-12,1.2672752769305534e-12
2023-05-06 00:04:12,-608339.1654438905,180100.7122484495,6829540.305891899,-7555.382986968982,702.5917434520011,-700.5402972299943,,,,-1.719882286588259e-07,-8.129388062716458e-08,-2.785351398415515e-07,1.2145408322829742e-12,6.053327735349628e-13,1.4607775861378169e-12,1.273225879438577e-12,1.2732258794385767e-12
2023-05-06 00:04:27,-721580.6255574576,190614.19971630463,6818086.153213893,-7543.130638495357,699.1743229870566,-826.643601318882,,,,-5.688459570052373e-08,-8.651486627098137e-08,-2.3302033547167866e-07,4.732527757230258e-13,6.037387117978108e-13,1.4592267933630053e-12,1.2795990160675213e-12,1.2795990160675213e-12
2023-05-06 00:04:42,-834622.6544399015,201074.97307595203,6804742.091572417,-7528.792137390545,695.5631945549453,-952.5281761167316,,,,3.266053720807349e-07,-6.322881038189898e-08,-1.9525557881650002e-07,-1.9622288757264948e-12,6.024324574582117e-13,1.457142904488746e-12,1.2863751486764226e-12,1.2863751486764226e-12
2023-05-06 00:04:57,-947433.9762020598,211480.1314313461,6789511.575068395,-7512.371000175111,691.7593051523043,-1078.1593437043034,,,,1.2399865423340373e-07,-1.136626052722356e-07,-4.4501764051574355e-08,-8.145425758026887e-13,6.013343188130501e-13,1.454559911746726e-12,1.2935382701104784e-12,1.2935382701104784e-12
2023-05-06 00:05:12,-1059983.3929554888,221826.7934031292,6772398.750934168,-7493.87148157218,687.7636824875344,-1203.5025324663195,,,,-1.1391513332625892e-07,-1.9402019080239088e-07,3.394027405789757e-07,2.660850431156171e-13,6.003968359604291e-13,1.4515113821525069e-12,1.3010687382562678e-12,1.3010687382562678e-12
2023-05-06 00:05:27,-1172239.7511915308,232112.08812005387,6753408.111940301,-7473.298199244205,683.5773925371841,-1328.5232160277344,,,,-1.0855013532484749e-07,-9.587508664754553e-08,8.464448697509397e-09,6.214468638295797e-13,5.995920165178864e-13,1.4480366216085553e-12,1.3089487880453357e-12,1.3089487880453355e-12
2023-05-06 00:05:42,-1284171.996919954,242333.16722662444,6732544.839878829,-7450.656484408331,679.2015736386239,-1453.1869426704636,,,,-3.08014855399108e-07,-8.906206078185265e-08,-3.658027161179689e-07,2.337702432981129e-12,5.989001796495143e-13,1.444173951519231e-12,1.3171560639605493e-12,1.3171560639605493e-12
