UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00
2024-05-09 22:00:42,-1102243.3946742443,2125155.1950323563,6448806.692971782,5591.141128636774,-4546.2563533401435,2448.1152074822735,,,,-2.456882696844076e-06,1.9990709931860806e-06,-1.3061025967431306e-06,-2.4770585369376518e-11,5.723677550050542e-13,7.610659541591452e-13,6.926734221611202e-13
2024-05-09 22:01:42,-764603.2391653279,1847918.4883034006,6581404.643939145,5659.414185418998,-4691.585062708504,1970.205363042793,,,,8.435328779921036e-08,-2.304743196290815e-08,-1.7346944503060513e-07,2.312956280226321e-13,5.64918740005685e-13,7.382746707804996e-13,6.721619619938206e-13
2024-05-09 22:02:42,-423610.2805172058,1562576.892596935,6685059.063140101,5702.861487204719,-4816.3215695632725,1483.6830945742183,,,,5.9509401073576385e-08,-9.302284675882788e-08,-1.5106475537152164e-07,5.357699334120865e-13,5.585952759220498e-13,7.140188942145279e-13,6.505430563089551e-13
2024-05-09 22:03:42,-80760.13011329487,1270382.6040009297,6759316.935518415,5721.298844014536,-4919.9259019433175,990.6776048092697,,,,3.6904439444651604e-07,-4.0115962440800956e-07,-2.3513269908903567e-07,3.6675400051591775e-12,5.531498946336841e-13,6.895462676759351e-13,6.288413441362061e-13
2024-05-09 22:04:42,262443.7654869802,972617.4531508344,6803853.783883725,5714.649059051042,-5001.949858377472,493.343184631708,,,,1.0603012307042192e-07,-2.249732933279347e-07,3.1723441651365647e-09,1.6501330984208063e-12,5.458262432516528e-13,6.660120644896343e-13,6.079347618949828e-13
2024-05-09 22:05:42,604496.5600516149,670587.3996414908,6818474.988930468,5682.94302872076,-5062.037965611047,-6.147426306868795,,,,4.874215708827734e-08,-1.7953270803339194e-07,-2.2969223856250665e-07,1.130579417537943e-12,5.281626917807558e-13,6.441683006834762e-13,5.886575683683054e-13
2024-05-09 22:06:42,943898.5150080302,365616.9013000756,6803116.589089962,5626.319836130246,-5099.929045048456,-505.6132170869929,,,,2.094624473869544e-08,-1.7345833613902073e-07,-3.6764802224809046e-07,1.1320067665989795e-12,4.981567786437169e-13,6.241701243884911e-13,5.717551644863281e-13
2024-05-09 22:07:42,1279161.4466713625,59043.229670796194,6757845.524524199,5545.025452982549,-5115.457582718339,-1002.8732670425294,,,,1.0679924811185515e-07,-2.318014092200782e-07,-1.7714545741398524e-07,1.862519833474732e-12,4.688779393482252e-13,6.055985072085112e-13,5.57155701486008e-13
2024-05-09 22:08:42,1608815.1081036318,-247789.30995550158,6682859.346275285,5439.411484800115,-5108.554338679345,-1495.7563461128327,,,,-9.569518999441584e-08,-6.193187473968464e-08,-2.35785579505432e-07,1.4214619739460782e-13,4.452965956171359e-13,5.87696046456642e-13,5.444669209238628e-13
2024-05-09 22:09:42,1931413.4861563656,-553535.1214198512,6578485.402611794,5309.934065388389,-5079.245826154751,-1982.1083639785604,,,,-9.040399939763688e-08,-2.8720502420753746e-08,-3.087592155281982e-07,2.657247397305254e-13,4.260465412234027e-13,5.697138903105537e-13,5.332391750223114e-13
2024-05-09 22:10:42,2245541.058838044,-856853.1017762523,6445179.534468545,5157.153113158349,-5027.655151652751,-2459.8020178105626,,,,-6.806712393725434e-08,-9.726347016680847e-08,-2.682388711150452e-07,7.605944209640102e-13,4.096622224177692e-13,5.512152818767905e-13,5.228475663570401e-13
2024-05-09 22:11:42,2549818.927878185,-1156412.4140082186,6283524.184178272,4981.72886858966,-4954.001354771808,-2926.7458882587703,,,,-1.380000607120735e-07,-6.479303582551665e-08,-4.7358538424191465e-07,9.729037811892561e-13,3.9529358120009903e-13,5.322055880328878e-13,5.125406723948413e-13
2024-05-09 22:12:42,2842910.7725815848,-1450898.233415599,6094226.026622242,4784.420285877925,-4858.599261656153,-3380.8916502888815,,,,4.7435699368492124e-08,-2.970132895185884e-08,6.153069964653923e-08,1.5476676984397186e-13,3.8245874246854365e-13,5.130490511715364e-13,5.015651350241143e-13
2024-05-09 22:13:42,3123528.711331561,-1739017.505760917,5878113.067597208,4566.082099431948,-4741.859179174284,-3820.245308911766,,,,-1.4346558607769566e-07,2.605949589451484e-08,-2.3412605631989436e-07,1.1208837561849637e-13,3.7086181855793025e-13,4.942397371762309e-13,4.893132758947139e-13
2024-05-09 22:14:42,3390438.8892595996,-2019504.5532417682,5636131.151821007,4327.660231318185,-4604.283112181511,-4242.8731033042195,,,,-2.619642511803022e-07,2.0038896497709402e-07,-1.4881058163496164e-08,-1.8935858196252868e-12,3.603020762504011e-13,4.761513132650227e-13,4.7545960488433e-13
2024-05-09 22:15:42,3642466.951878125,-2291126.5950856903,5369340.179203082,4070.19177410829,-4446.46576445508,-4646.90936205878,,,,-9.246405507923328e-08,2.4911801510540954e-08,-1.0952399698282989e-07,2.1976928503298425e-14,3.506288164410737e-13,4.588725155421131e-13,4.600400669717478e-13
2024-05-09 22:16:42,3878503.3661453137,-2552689.251232056,5078909.634472061,3794.7992307997806,-4269.091651238652,-5030.56811743767,,,,-9.22454166385478e-08,9.589218619154849e-08,3.6176560413991865e-08,-8.940295305151346e-13,3.4171917019365353e-13,4.4218638987413886e-13,4.4343892594216454e-13
2024-05-09 22:17:42,4097508.3964367597,-2803041.836041911,4766113.616608186,3502.686063605853,-4072.932476341808,-5392.149507288137,,,,9.531314404398472e-09,5.0832676290468726e-08,1.042203301437894e-08,-2.1827758532549404e-13,3.3346696753528447e-13,4.256948623924703e-13,4.2627652127169623e-13
2024-05-09 22:18:42,4298516.82361051,-3041082.5183425597,4432325.41087551,3195.131763787451,-3858.844476387356,-5730.048429335989,,,,-2.138498444992365e-08,8.982917520938827e-08,9.96577327327941e-08,-9.365333462101611e-13,3.2577677925849826e-13,4.090461219171881e-13,4.092347502380563e-13
2024-05-09 22:19:42,4480642.353743369,-3265763.2981692124,4079011.586578008,2873.4868870706396,-3627.7652919208467,-6042.761949410086,,,,5.817741577374136e-08,-4.6430510547423864e-08,1.314007480601731e-08,2.425699975410773e-13,3.185608550664224e-13,3.921802539718631e-13,3.9288821565531047e-13
2024-05-09 22:20:42,4643081.7148803,-3476094.783873936,3707725.6105429414,2539.1671776116837,-3380.7100765251907,-6328.897678546389,,,,7.203845608927395e-08,-3.9492688230780004e-08,1.3302303614182165e-07,-5.002446147518243e-13,3.11737642812223e-13,3.7547383087312074e-13,3.7760272395379766e-13
