UTC,Computed Density,JB08,DTM2000,EDR Density,AccelerometerDensity,NRLMSISE-00,NRT Density
2023-05-06 00:45:12,6.322585455339256e-13,3.153410135822581e-13,8.122965265634183e-13,,3.0029405e-13,5.0483977e-13,5.467682080768726e-13
2023-05-06 00:45:27,6.269848762414984e-13,3.1405862885290676e-13,8.134088648820801e-13,,2.9354025e-13,5.0456395e-13,5.413030791639339e-13
2023-05-06 00:45:42,6.22324944359898e-13,3.128734716197178e-13,8.145879418003768e-13,,2.9124106e-13,5.0453966e-13,5.364645112851129e-13
2023-05-06 00:45:57,6.181073119745257e-13,3.117854304358006e-13,8.158349460467556e-13,,2.91831e-13,5.0475325e-13,5.320824216417741e-13
2023-05-06 00:46:12,6.143161454472568e-13,3.1079332337593844e-13,8.171511951030488e-13,,2.9251996e-13,5.0495713e-13,5.281440213473369e-13
2023-05-06 00:46:27,6.107398983051785e-13,3.098966987868134e-13,8.185421364848684e-13,,2.8818854e-13,5.0557556e-13,5.244400904147597e-13
2023-05-06 00:46:42,6.073697751692767e-13,3.09093962388611e-13,8.200130769841083e-13,,2.8837611e-13,5.0596766e-13,5.209641319011233e-13
2023-05-06 00:46:57,6.044332812776385e-13,3.083841240925357e-13,8.215730291317162e-13,,2.9651153e-13,5.0691737e-13,5.179472737375694e-13
2023-05-06 00:47:12,6.019056907773527e-13,3.0776489445541193e-13,8.232303615508334e-13,,3.0376324e-13,5.074654e-13,5.153641606230011e-13
2023-05-06 00:47:27,5.998086585870592e-13,3.07234372928778e-13,8.249965432942027e-13,,3.1396433e-13,5.086745e-13,5.132295045978331e-13
2023-05-06 00:47:42,5.981105311474138e-13,3.0678911835364053e-13,8.268817641670219e-13,,3.1957418e-13,5.0934685e-13,5.115086944085592e-13
2023-05-06 00:47:57,5.965590509528665e-13,3.064258348187936e-13,8.288985995298837e-13,,3.359941e-13,5.107622e-13,5.099534645984713e-13
2023-05-06 00:48:12,5.952340159927113e-13,3.061396995643942e-13,8.310576144658573e-13,,3.358194e-13,5.115183e-13,5.086453274959994e-13
2023-05-06 00:48:27,5.944996849063538e-13,3.059271736337948e-13,8.333709980837475e-13,,3.437486e-13,5.130863e-13,5.079451001879028e-13
2023-05-06 00:48:42,5.942132937170564e-13,3.057888204523335e-13,8.358481798859425e-13,8.747878528256025e-13,3.3510855e-13,5.139213e-13,5.077119515198971e-13
2023-05-06 00:48:57,5.945367611114798e-13,3.057506062636777e-13,8.384994879240435e-13,8.977668958623624e-13,3.3398559e-13,5.1560595e-13,5.081176407350171e-13
2023-05-06 00:49:12,5.953036365329821e-13,3.059547133903239e-13,8.413318192848757e-13,9.184731007302965e-13,3.3434218e-13,5.164856e-13,5.090041985452795e-13
2023-05-06 00:49:27,5.959973508531971e-13,3.0722108258001777e-13,8.443523393376735e-13,9.140284926367432e-13,3.3917417e-13,5.1824647e-13,5.098571910873963e-13
2023-05-06 00:49:42,5.969201435081639e-13,3.15067035077026e-13,8.475642113130685e-13,9.102029167697877e-13,3.4080822e-13,5.1917823e-13,5.109789520976791e-13
