UTC,AccelerometerDensity,EDR_rolling,POD_rolling,NRT_rolling,DTM2000,JB08,NRLMSISE00
2023-05-06 00:45:12,3.0029405e-13,,,,8.122965265634183e-13,3.153410135822581e-13,6.911347215579846e-13
2023-05-06 00:45:27,2.9354025e-13,,,,8.134088648820801e-13,3.1405862885290676e-13,6.932897920607154e-13
2023-05-06 00:45:42,2.9124106e-13,,,,8.145879418003768e-13,3.128734716197178e-13,6.955565614449745e-13
2023-05-06 00:45:57,2.91831e-13,,,,8.158349460467556e-13,3.117854304358006e-13,6.979048447017396e-13
2023-05-06 00:46:12,2.9251996e-13,,,,8.171511951030488e-13,3.1079332337593844e-13,7.003043567947959e-13
2023-05-06 00:46:27,2.8818854e-13,,,,8.185421364848684e-13,3.098966987868134e-13,7.027285664746273e-13
2023-05-06 00:46:42,2.8837611e-13,,,,8.200130769841083e-13,3.09093962388611e-13,7.0515117678034e-13
2023-05-06 00:46:57,2.9651153e-13,,,,8.215730291317162e-13,3.083841240925357e-13,7.075499154589973e-13
2023-05-06 00:47:12,3.0376324e-13,,,,8.232303615508334e-13,3.0776489445541193e-13,7.099029689408429e-13
2023-05-06 00:47:27,3.1396433e-13,,,,8.249965432942027e-13,3.07234372928778e-13,7.121927349853065e-13
2023-05-06 00:47:42,3.1957418e-13,,,,8.268817641670219e-13,3.0678911835364053e-13,7.144022433994585e-13
2023-05-06 00:47:57,3.359941e-13,,,,8.288985995298837e-13,3.064258348187936e-13,7.165188864137501e-13
2023-05-06 00:48:12,3.358194e-13,,,,8.310576144658573e-13,3.061396995643942e-13,7.185308692180542e-13
2023-05-06 00:48:27,3.437486e-13,,,,8.333709980837475e-13,3.059271736337948e-13,7.204310434786908e-13
2023-05-06 00:48:42,3.3510855e-13,,,,8.358481798859425e-13,3.057888204523335e-13,7.222136371675626e-13
2023-05-06 00:48:57,3.3398559e-13,,,,8.384994879240435e-13,3.057506062636777e-13,7.238787541122768e-13
2023-05-06 00:49:12,3.3434218e-13,,,,8.413318192848757e-13,3.059547133903239e-13,7.254305321333883e-13
2023-05-06 00:49:27,3.3917417e-13,,,,8.443523393376735e-13,3.0722108258001777e-13,7.26882760014336e-13
2023-05-06 00:49:42,3.4080822e-13,,,,8.475642113130685e-13,3.15067035077026e-13,7.282240192545361e-13
2023-05-06 00:49:57,3.3766656e-13,,,,8.50970385944657e-13,3.0963835243760154e-13,7.290600902500967e-13
2023-05-06 00:50:12,3.3402393e-13,,,,8.545694321606324e-13,3.124043555175578e-13,7.295583217496558e-13
2023-05-06 00:50:27,3.3633554e-13,,,,8.583593995484106e-13,3.1484859047120854e-13,7.304170283930345e-13
2023-05-06 00:50:42,3.4204657e-13,,,,8.623337057433861e-13,3.155559603139813e-13,7.312153112975191e-13
2023-05-06 00:50:57,3.5322702e-13,,,,8.664851375676465e-13,3.1551096599732517e-13,7.31893594143326e-13
2023-05-06 00:51:12,3.5471463e-13,,,,8.708018420625369e-13,3.151550889980528e-13,7.324612477008985e-13
2023-05-06 00:51:27,3.5957183e-13,,,,8.752714219990442e-13,3.1467886813076613e-13,7.329335276164898e-13
2023-05-06 00:51:42,3.6334592e-13,,,,8.79876971690653e-13,3.1417293662432056e-13,7.333231457584201e-13
2023-05-06 00:51:57,3.7391081e-13,,,,8.846013054768539e-13,3.136858679745528e-13,7.336440954814825e-13
2023-05-06 00:52:12,3.8707139e-13,,,,8.894230551254196e-13,3.132446434808067e-13,7.339084154163455e-13
2023-05-06 00:52:27,4.2312609e-13,,,,8.943210019304542e-13,3.128662830937861e-13,7.34129956237701e-13
2023-05-06 00:52:42,4.3667368e-13,,,,8.992702060083057e-13,3.125607922000798e-13,7.34320856228931e-13
2023-05-06 00:52:57,4.4292714e-13,,,,9.042464197525514e-13,3.123354288430445e-13,7.344951079641906e-13
2023-05-06 00:53:12,4.4087222e-13,,,,9.092222071175296e-13,3.1219427163186453e-13,7.346649346057396e-13
2023-05-06 00:53:27,4.345546e-13,,,,9.141714471161404e-13,3.121408182159342e-13,7.348443162958128e-13
2023-05-06 00:53:42,4.3135014e-13,,,,9.190654447363548e-13,3.121766786161316e-13,7.350453623137592e-13
2023-05-06 00:53:57,4.2257231e-13,,,,9.238774763211236e-13,3.123036759727184e-13,7.35281813122344e-13
2023-05-06 00:54:12,4.2097963e-13,,,,9.285788486271304e-13,3.125222518571774e-13,7.355654112345669e-13
2023-05-06 00:54:27,4.2023573e-13,,,,9.331434837880159e-13,3.1283339643759713e-13,7.359094067982382e-13
2023-05-06 00:54:42,4.1566401e-13,,,,9.375439154133112e-13,3.132369451437775e-13,7.363249388291774e-13
2023-05-06 00:54:57,3.9595014e-13,,,,9.417558853748418e-13,3.137334386707131e-13,7.368245409491241e-13
2023-05-06 00:55:12,3.8613436e-13,,,,9.457542474874404e-13,3.143223650536365e-13,7.3741852038814e-13
2023-05-06 00:55:27,3.7158948e-13,,,,9.495175804081133e-13,3.150039969872839e-13,7.381184820361087e-13
2023-05-06 00:55:42,3.6813671e-13,,,,9.530239962732226e-13,3.1577760430740054e-13,7.389337077627894e-13
2023-05-06 00:55:57,3.6774235e-13,,,,9.562557539123524e-13,3.166432834992173e-13,7.398746965417507e-13
2023-05-06 00:56:12,3.706811e-13,,,,9.591949615338342e-13,3.176001459921867e-13,7.40949534594072e-13
2023-05-06 00:56:27,3.7531524e-13,,,,9.618282028000505e-13,3.18648156111554e-13,7.421674698791983e-13
2023-05-06 00:56:42,3.7915623e-13,,,,9.641421618655161e-13,3.1978630904690397e-13,7.435352909840608e-13
2023-05-06 00:56:57,3.9267222e-13,,,,9.661282296977465e-13,3.210144703938724e-13,7.45060916522834e-13
2023-05-06 00:57:12,4.0157831e-13,,,,9.677780320937101e-13,3.2233153466310193e-13,7.467497602130219e-13
2023-05-06 00:57:27,4.1945798e-13,,,,9.690880353920893e-13,3.237372786583481e-13,7.486083574220717e-13
2023-05-06 00:57:42,4.2262206e-13,,,,9.700549992714606e-13,3.2523050638494243e-13,7.506407253804157e-13
2023-05-06 00:57:57,4.2615108e-13,,,,9.706805639233878e-13,3.268109124886103e-13,7.528520194953968e-13
2023-05-06 00:58:12,4.2481888e-13,,,,9.70966613812908e-13,3.2847720404831843e-13,7.55244868251188e-13
2023-05-06 00:58:27,4.2215565e-13,,,,9.709198639293634e-13,3.302289843305496e-13,7.578230802819355e-13
2023-05-06 00:58:42,4.1921274e-13,,,,9.705471449934434e-13,3.320648513823725e-13,7.605879518043357e-13
2023-05-06 00:58:57,4.1547693e-13,,,,9.698599899837104e-13,3.339843052356215e-13,7.635420314750711e-13
2023-05-06 00:59:12,4.1262066e-13,,,,9.688698642940465e-13,3.3598582796033924e-13,7.666854067783786e-13
2023-05-06 00:59:27,4.0549237e-13,,,,9.675927373110022e-13,3.380688103480453e-13,7.700195192184224e-13
2023-05-06 00:59:42,4.0087132e-13,,,,9.660442506373473e-13,3.402316051362471e-13,7.73543409644175e-13
2023-05-06 00:59:57,3.9593851e-13,,,,9.642442884255642e-13,3.4247347998647823e-13,7.772575963618385e-13
2023-05-06 01:00:12,3.9502697e-13,,,,9.622121046455685e-13,3.447926462628365e-13,7.811602788041647e-13
2023-05-06 01:00:27,3.9919691e-13,,,,9.599708867181357e-13,3.471882364803092e-13,7.852512729439263e-13
2023-05-06 01:00:42,4.0178155e-13,,,,9.575428417479073e-13,3.4965830169011066e-13,7.895281529788188e-13
2023-05-06 01:00:57,4.0411195e-13,,,,9.549537750008246e-13,3.5220182191893937e-13,7.939902572469897e-13
2023-05-06 01:01:12,4.040978e-13,,,,9.52228169747997e-13,3.548166798444086e-13,7.986347749856384e-13
2023-05-06 01:01:27,4.102644e-13,,,,9.493937641355445e-13,3.57501696534262e-13,8.034608030991302e-13
2023-05-06 01:01:42,4.1418505e-13,,,,9.464766161492625e-13,3.602545709309557e-13,8.084653485236082e-13
2023-05-06 01:01:57,4.1887485e-13,,,,9.435057010956215e-13,3.6307394928953e-13,8.136474470343949e-13
2023-05-06 01:02:12,4.2233114e-13,,,,9.405079820634409e-13,3.659573332906143e-13,8.190040777448555e-13
2023-05-06 01:02:27,4.2944028e-13,,,,9.375130295967005e-13,3.6890318340271467e-13,8.245343392932953e-13
2023-05-06 01:02:42,4.3300048e-13,,,,9.345481067294318e-13,3.7190879508104234e-13,8.302352672234897e-13
2023-05-06 01:02:57,4.4152489e-13,,,,9.31642805990449e-13,3.749724339516988e-13,8.36106059430656e-13
2023-05-06 01:03:12,4.4501555e-13,,,,9.288241415749207e-13,3.780911735054994e-13,8.421437770384283e-13
2023-05-06 01:03:27,4.5863174e-13,,,,9.261212205714834e-13,3.8126307039392497e-13,8.483476336079673e-13
2023-05-06 01:03:42,4.6417141e-13,,,,9.235603578538945e-13,3.844849694600647e-13,8.547145877071857e-13
2023-05-06 01:03:57,4.70101e-13,,,,9.211697679333282e-13,3.8775471460289333e-13,8.612436882397878e-13
2023-05-06 01:04:12,4.72539e-13,,,,9.189746927032473e-13,3.9106891689782427e-13,8.679315506531617e-13
2023-05-06 01:04:27,4.7532717e-13,,,,9.17002112429112e-13,3.944252019626773e-13,8.747767651967123e-13
2023-05-06 01:04:42,4.7842788e-13,,,,9.152758779586614e-13,3.978199386453525e-13,8.817752562175078e-13
2023-05-06 01:04:57,4.8485974e-13,,,,9.138214422156024e-13,4.012505253708177e-13,8.889247672360293e-13
2023-05-06 01:05:12,4.8812806e-13,,,,9.12660979917955e-13,4.04713073850084e-13,8.962201009055366e-13
2023-05-06 01:05:27,4.9741583e-13,,,,9.118181526209357e-13,4.082047422350381e-13,9.036577091816915e-13
2023-05-06 01:05:42,5.0030908e-13,,,,9.113132276089506e-13,4.1172138321146e-13,9.11230845246883e-13
2023-05-06 01:05:57,5.0811283e-13,,,,9.111678518802126e-13,4.1525991324124934e-13,9.189342527769146e-13
2023-05-06 01:06:12,5.1291549e-13,,,,9.114001418105452e-13,4.18815914904868e-13,9.267592244337958e-13
2023-05-06 01:06:27,5.2354183e-13,,,,9.120294803033645e-13,4.223860492044143e-13,9.346984211046352e-13
2023-05-06 01:06:42,5.2900856e-13,,,,9.13071569478293e-13,4.259656124139201e-13,9.427408537792816e-13
2023-05-06 01:06:57,5.3903299e-13,,,,9.145432531638353e-13,4.29550991228876e-13,9.508768494773793e-13
2023-05-06 01:07:12,5.4515621e-13,,,,9.164575275541153e-13,4.331371751061162e-13,9.590929751344021e-13
2023-05-06 01:07:27,5.565154e-13,,,,9.188283877966332e-13,4.3672025039564e-13,9.673771587535484e-13
2023-05-06 01:07:42,5.6214054e-13,8.918348729127879e-13,6.703460639681475e-13,7.149838276313545e-13,9.21665777316071e-13,4.402948602719223e-13,9.757135559901269e-13
2023-05-06 01:07:57,5.7228483e-13,8.9207657520421e-13,6.682481192894627e-13,7.142194118291535e-13,9.249804717831237e-13,4.4385673684727243e-13,9.840878417560335e-13
2023-05-06 01:08:12,5.7587648e-13,8.836385859791619e-13,6.70070264694232e-13,7.17542047637208e-13,9.28778981671783e-13,4.474001125595794e-13,9.92482049626047e-13
2023-05-06 01:08:27,5.8405337e-13,8.838738706405846e-13,6.79871823183019e-13,7.290473883909232e-13,9.33068462864929e-13,4.509202662567515e-13,1.0008800154204147e-12
2023-05-06 01:08:42,5.8837159e-13,8.864844401048171e-13,6.839482243280566e-13,7.350223426731347e-13,9.378515417417068e-13,4.5441084546827654e-13,1.0092621641834526e-12
2023-05-06 01:08:57,5.999754e-13,8.868194930346487e-13,6.886316878011948e-13,7.416976332054956e-13,9.43131281367921e-13,4.578663697920808e-13,1.017611116985359e-12
2023-05-06 01:09:12,6.0537896e-13,8.866249401331347e-13,6.89960878391827e-13,7.450528530113755e-13,9.489059546681978e-13,4.612792844259172e-13,1.0259064510480516e-12
2023-05-06 01:09:27,6.1699611e-13,8.869948434912219e-13,6.957423098147447e-13,7.5291147462345e-13,9.551740512047918e-13,4.646417247224591e-13,1.0341304239893788e-12
2023-05-06 01:09:42,6.2193311e-13,8.876043962164286e-13,7.006101660643294e-13,7.599282026094044e-13,9.619289539719425e-13,4.679496763407153e-13,1.0422626487674328e-12
2023-05-06 01:09:57,6.3171488e-13,8.879944073052459e-13,7.029337259531733e-13,7.644365009281178e-13,9.691640434522945e-13,4.712056864030973e-13,1.0502859556774348e-12
2023-05-06 01:10:12,6.3610997e-13,8.884240124482209e-13,7.068111527457911e-13,7.705555971020907e-13,9.768673234332673e-13,4.744094700550213e-13,1.0581810127623354e-12
2023-05-06 01:10:27,6.4504198e-13,8.888886353977517e-13,7.045452911788253e-13,7.706481302742609e-13,9.85026601403086e-13,4.775615281279077e-13,1.0659322554964205e-12
2023-05-06 01:10:42,6.4816547e-13,8.894319290847387e-13,7.081797589953581e-13,7.76711328704792e-13,9.936240180354366e-13,4.806606679507638e-13,1.073522380623247e-12
2023-05-06 01:10:57,6.5337545e-13,8.899521033954287e-13,7.128217953133247e-13,7.836424809860415e-13,1.0026413801215092e-12,4.837069267443268e-13,1.0809383736248204e-12
2023-05-06 01:11:12,6.5643113e-13,8.904893530854851e-13,7.152418064705368e-13,7.881786355436757e-13,1.0120546731488077e-12,4.866988526796114e-13,1.0881659352568317e-12
2023-05-06 01:11:27,6.6506692e-13,8.910039861798544e-13,7.166861610796334e-13,7.917716972857619e-13,1.0218394909147622e-12,4.896363584871823e-13,1.0951954953816637e-12
2023-05-06 01:11:42,6.6891069e-13,8.915236034085128e-13,7.171246849349755e-13,7.944056712264724e-13,1.0319654583924898e-12,4.925179071993912e-13,1.1020164714669169e-12
2023-05-06 01:11:57,6.7343048e-13,8.920524158210468e-13,7.242837178067173e-13,8.036084724758112e-13,1.042401846940247e-12,4.95343391059276e-13,1.1086233182413173e-12
2023-05-06 01:12:12,6.747731e-13,8.92729439998334e-13,7.288043233227451e-13,8.099498501123833e-13,1.053111941962047e-12,4.981112627430813e-13,1.1150096372457134e-12
2023-05-06 01:12:27,6.7395968e-13,8.933060422613723e-13,7.2883805079213e-13,8.116221634584557e-13,1.0640588586014232e-12,5.008214497784126e-13,1.121174241479835e-12
2023-05-06 01:12:42,6.7302799e-13,8.938208481211542e-13,7.278297406999993e-13,8.122006811627482e-13,1.0751998895963071e-12,5.034724537142898e-13,1.1271151435819636e-12
2023-05-06 01:12:57,6.7086047e-13,8.942531354170066e-13,7.266468617628107e-13,8.12795868720406e-13,1.0864925071714079e-12,5.06064288708559e-13,1.1328355962696282e-12
2023-05-06 01:13:12,6.7017397e-13,8.947118561241611e-13,7.297519310438067e-13,8.17833549335565e-13,1.0978886798413889e-12,5.085955442357433e-13,1.1383379481569717e-12
2023-05-06 01:13:27,6.7012e-13,8.952343275284738e-13,7.353276106427238e-13,8.252161244337535e-13,1.1093410788904213e-12,5.110663542185156e-13,1.1436296706063202e-12
2023-05-06 01:13:42,6.6955974e-13,8.958991565351273e-13,7.367017801146732e-13,8.281324682005182e-13,1.120797384060844e-12,5.134754349718481e-13,1.1487171131483437e-12
2023-05-06 01:13:57,6.6973089e-13,8.964223732912565e-13,7.339583269723026e-13,8.266677468542313e-13,1.1322066649784399e-12,5.158230703780983e-13,1.1536114931492706e-12
2023-05-06 01:14:12,6.6974322e-13,8.968816414566006e-13,7.346009199698892e-13,8.285046228052376e-13,1.1435136280851503e-12,5.18108105747653e-13,1.1583225250435317e-12
2023-05-06 01:14:27,6.6979156e-13,8.972653480292942e-13,7.351940443198051e-13,8.304945638020041e-13,1.1546652175939212e-12,5.203309756441947e-13,1.1628644398044572e-12
2023-05-06 01:14:42,6.6907968e-13,8.976472175434113e-13,7.350284419411233e-13,8.319667344355216e-13,1.1656048580587249e-12,5.224906857687607e-13,1.167249571381577e-12
2023-05-06 01:14:57,6.6801015e-13,8.980385626562907e-13,7.385150418305805e-13,8.370601790897073e-13,1.176279196078599e-12,5.245878532574676e-13,1.1714943591647316e-12
2023-05-06 01:15:12,6.6680627e-13,8.985635561235164e-13,7.405844353928451e-13,8.405757775000199e-13,1.1866322913240837e-12,5.266216620908108e-13,1.1756128792798362e-12
2023-05-06 01:15:27,6.6425429e-13,8.99027564576936e-13,7.428770518006831e-13,8.441190353718152e-13,1.196612490065048e-12,5.285929243319917e-13,1.1796228641306442e-12
2023-05-06 01:15:42,6.6455937e-13,8.99520300440901e-13,7.417737719293455e-13,8.441259050408306e-13,1.206166547452012e-12,5.305010106738615e-13,1.1835391979424728e-12
